Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2016,998.693,,,,,,333.927,145.672,14.6,24.3,305.157,156.517,148.64,1113.042,2354.918,1241.876,427.06,90.309,598489211.0,,,,,,,millions,NZD
FY2017,927.3,,,,,,307.01,44.862,4.8,6.8,279.524,158.587,120.937,1070.937,2278.311,1207.374,391.779,56.727,662207364.0,,,,,,,millions,NZD
FY2018,994.579,,,,244.351,24.6,338.728,169.519,17.0,25.4,289.089,215.055,74.034,1158.026,2544.508,1386.482,508.453,75.955,669112000.0,,,,,,,millions,NZD
FY2019,802.265,,,,217.818,27.2,297.806,144.581,18.0,21.4,252.324,332.78,-80.456,1155.972,2551.95,1395.978,545.04,41.574,675772802.0,,,,,,,millions,NZD
FY2020,641.653,,,,261.731,40.8,348.291,235.388,36.7,35.4,120.166,345.14,-224.974,1434.607,2789.32,1354.72,637.913,54.224,664946279.0,,,,,,,millions,NZD
H1 FY2021,315.71,,,,,,,78.416,24.8,10.4,120.616,118.514,2.102,1566.82,2733.89,1167.07,634.028,58.077,,,,,,,,millions,NZD
FY2021,713.216,,,,225.915,31.7,317.328,156.126,21.9,20.6,288.185,177.472,110.713,1651.019,2805.83,1154.81,607.802,49.94,759687194.0,,,,,,,millions,NZD
H1 FY2022,216.755,,,,,,,-33.718,-15.6,-4.5,-32.076,54.68,-86.756,1550.87,2755.62,1204.76,714.874,74.867,,,,,,,,millions,NZD
FY2022,553.543,,,,2.276,0.4,96.936,-33.595,-6.1,-4.4,91.121,111.476,-20.355,1571.274,2743.702,1172.43,650.478,48.698,757508000.0,,,,,,,millions,NZD
H1 FY2023,437.128,,,,,,106.34,22.849,5.2,3.0,159.868,84.652,75.216,1584.68,2748.83,1164.15,559.904,136.524,,,,,,,,millions,NZD
FY2023,855.785,,,,75.227,8.8,165.899,7.975,0.9,1.1,280.097,262.859,17.238,1530.197,2863.498,1333.301,691.365,245.013,758117000.0,,,,,,,millions,NZD
H1 FY2024,440.426,,,,,,100.99,22.546,5.1,3.0,87.462,80.782,6.68,1505.54,2838.58,1333.04,688.248,188.216,,,,,,,,millions,NZD
FY2024,861.037,,,,46.136,5.4,138.157,-143.348,-16.6,-18.9,203.574,310.736,-107.162,1303.861,2781.036,1477.175,730.929,60.536,758734000.0,,,,,,,millions,NZD
H1 FY2025,420.798,,,,,,113.084,6.071,1.4,0.8,1.946,78.761,-76.815,1309.19,2799.31,1490.12,821.19,88.649,,,,,,,,millions,NZD
FY2025,821.306,,,,121.882,14.8,216.095,29.234,3.6,3.9,45.162,163.845,-118.683,1330.424,2759.684,1429.26,803.447,51.499,759218929.0,,,,,,,millions,NZD
H1 FY2026,406.539,,,,,,72.085,12.082,3.0,1.2,56.079,75.901,-19.822,1578.94,2610.24,1031.3,713.938,72.533,,,,,,,,millions,NZD
FY2026,813.651,,,,15.415,1.9,120.474,18.233,2.2,1.8,121.676,113.627,8.049,1545.034,2604.998,1059.964,719.336,84.415,1037141618.0,,,,,,,millions,NZD
