Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2015,203.011,-122.262,80.749,39.8,31.119,15.3,,21.933,10.8,11.38,17.802,2.618,15.184,159.66,211.631,51.971,,11.58,192.805807,,9.0,,,,,millions,NZD
H1 2016,107.554,-66.877,40.677,37.8,13.731,12.8,,9.641,9.0,5.0,13.697,0.527,13.17,155.731,,,24.4,,192.805807,,,,,,,millions,NZD
FY2016,211.415,-130.629,80.786,38.2,29.51,14.0,37.004,20.525,9.7,10.65,30.939,40.13,-9.191,155.855,228.004,72.149,36.413,9.51,192.805807,,9.0,,,,,millions,NZD
H1 2017,97.314,-61.715,35.599,36.6,13.277,13.6,,8.927,9.2,4.63,9.718,8.266,1.452,152.749,226.698,73.949,42.711,7.145,192.805807,,,,,,,millions,NZD
FY2017,210.322,-131.857,78.465,37.3,32.849,15.6,40.638,22.11,10.5,11.47,21.229,12.695,8.534,159.247,237.932,78.685,41.777,6.022,192.805807,,9.5,,,,,millions,NZD
H1 2018,116.714,-74.915,41.799,35.8,17.49,15.0,,11.688,10.0,6.06,14.767,3.062,11.705,163.09,242.7,79.61,45.036,10.206,192.805807,,,,,,,millions,NZD
FY2018,240.408,-151.345,89.063,37.0,39.781,16.5,47.237,27.277,11.3,14.15,28.345,5.428,22.917,172.286,252.025,79.739,40.4,9.681,192.805807,,11.0,,,,,millions,NZD
H1 2019,120.188,-74.899,45.289,37.7,19.412,16.2,,13.413,11.2,6.89,13.046,1.926,11.12,173.901,249.045,75.144,40.851,8.464,192.805807,,,,,,,millions,NZD
FY2019,245.792,-152.917,92.875,37.8,41.798,17.0,48.93,29.063,11.8,14.96,28.92,4.593,24.327,178.392,257.059,78.667,46.215,9.639,194.289134,,13.0,,,,,millions,NZD
H1 2020,122.976,-76.971,46.005,37.4,17.998,14.6,,12.073,9.8,6.2,24.055,2.384,21.671,176.624,275.347,98.723,48.279,13.625,194.289134,,,,,,,millions,NZD
FY2020,251.389,-155.115,96.274,38.3,42.486,16.9,55.253,29.064,11.6,14.92,48.006,4.383,43.623,184.563,283.642,99.079,42.13,13.617,194.75334,,13.0,,,,,millions,NZD
H1 2021,136.589,-80.966,55.623,40.7,27.55,20.2,,19.459,14.2,9.98,35.1,2.549,32.551,186.258,281.674,95.416,33.0,20.044,194.75334,,,,,,,millions,NZD
FY2021,279.515,-165.89,113.625,40.7,56.361,20.2,68.734,40.175,14.4,20.59,58.796,7.478,51.318,196.149,284.874,88.725,24.409,15.673,195.101557,,17.0,,,,,millions,NZD
H1 2022,150.47,-89.722,60.748,40.4,32.396,21.5,,23.209,15.4,11.89,19.671,3.714,15.957,199.14,305.443,106.303,42.0,16.408,195.101557,,,,,,,millions,NZD
FY2022,316.829,-190.401,126.428,39.9,66.76,21.1,80.523,47.813,15.1,24.48,43.322,10.186,33.136,211.208,336.644,125.436,40.0,14.796,195.276382,,20.5,,,,,millions,NZD
H1 2023,165.52,-98.623,66.897,40.4,33.497,20.2,,22.973,13.9,11.75,20.188,4.328,15.86,209.126,339.622,130.496,55.006,16.004,195.276382,,,,,,,millions,NZD
FY2023,333.537,-194.409,139.128,41.7,71.659,21.5,86.892,50.941,15.3,26.02,54.114,8.247,45.867,225.436,342.977,117.541,43.924,17.094,195.80361,,22.0,,,,,millions,NZD
H1 2024,157.73,-90.588,67.142,42.6,31.64,20.1,,21.614,13.7,11.02,36.475,5.235,31.24,218.899,330.554,111.655,46.075,19.694,195.80361,,,,,,,millions,NZD
FY2024,330.578,-187.311,143.267,43.3,72.688,22.0,88.52,46.893,14.2,23.9,70.81,9.444,61.366,229.493,335.127,105.634,32.0,16.629,196.071582,,24.0,,,,,millions,NZD
H1 2025,165.341,-93.933,71.408,43.2,34.983,21.2,,24.184,14.6,12.33,32.241,4.712,27.529,227.395,346.058,118.663,39.0,18.601,196.071582,,,,,,,millions,NZD
FY2025,353.478,-200.079,153.399,43.4,78.036,22.1,94.943,54.549,15.4,27.82,66.487,9.201,57.286,240.19,349.294,109.104,28.0,15.588,196.071582,,25.5,,,,,millions,NZD
H1 2026,183.475,-102.833,80.642,44.0,40.551,22.1,,28.929,15.8,14.75,38.767,8.854,29.913,240.217,360.619,120.402,42.0,24.525,196.071582,,,,,,,millions,NZD
FY2026,390.1,,,,89.3,22.9,,67.7,17.4,32.8,83.6,15.1,68.5,,,,,,196.071582,0.0,30.0,,,,,millions,NZD
