Date,Close
2016-09-30,0.42
2016-10-31,0.36
2016-11-30,0.285
2016-12-31,0.33
2017-01-31,0.28
2017-02-28,0.29
2017-03-31,0.29
2017-04-30,0.46
2017-05-31,0.5
2017-06-30,0.74
2017-07-31,0.7
2017-08-31,0.65
2017-09-30,1.06
2017-10-31,1.85
2017-11-30,2.19
2017-12-31,1.88
2018-01-31,2.1
2018-02-28,2.45
2018-03-31,2.48
2018-04-30,2.98
2018-05-31,2.95
2018-06-30,2.85
2018-07-31,2.95
2018-08-31,3.4
2018-09-30,3.23
2018-10-31,2.96
2018-11-30,2.8
2018-12-31,3.25
2019-01-31,3.25
2019-02-28,3.18
2019-03-31,3.65
2019-04-30,3.88
2019-05-31,4.26
2019-06-30,4.15
2019-07-31,4.46
2019-08-31,4.2
2019-09-30,4.7
2019-10-31,5
2019-11-30,4.95
2019-12-31,5.25
2020-01-31,4
2020-02-29,1.9
2020-03-31,2.65
2020-04-30,2.92
2020-05-31,3.3
2020-06-30,3.52
2020-07-31,3.68
2020-08-31,4.51
2020-09-30,4.91
2020-10-31,5.48
2020-11-30,5.79
2020-12-31,5.71
2021-01-31,5.73
2021-02-28,6.99
2021-03-31,6.8
2021-04-30,7.01
2021-05-31,7.5
2021-06-30,7.13
2021-07-31,8
2021-08-31,8.3
2021-09-30,7.8
2021-10-31,6.4
2021-11-30,7
2021-12-31,5.3
2022-01-31,4.83
2022-02-28,4.66
2022-03-31,5.1
2022-04-30,3.62
2022-05-31,3.7
2022-06-30,3.7
2022-07-31,3.6
2022-08-31,3.2
2022-09-30,2.98
2022-10-31,2.45
2022-11-30,2.25
2022-12-31,2.54
2023-01-31,2.37
2023-02-28,2.39
2023-03-31,2.1
2023-04-30,3.06
2023-05-31,3.75
2023-06-30,4
2023-07-31,3.9
2023-08-31,4.3
2023-09-30,4.2
2023-10-31,4.1
2023-11-30,4.05
2023-12-31,4.16
2024-01-31,4.04
2024-02-29,3.89
2024-03-31,3.72
2024-04-30,3.2
2024-05-31,3.2
2024-06-30,3.6
2024-07-31,3.2
2024-08-31,2.97
2024-09-30,3.5
2024-10-31,3.69
2024-11-30,3.82
2024-12-31,3.75
2025-01-31,3.65
2025-02-28,3.95
2025-03-31,3.6
2025-04-30,3
2025-05-31,3.18
2025-06-30,2.86
2025-07-31,2.49
2025-08-31,2.7
2025-09-30,2.72
2025-10-31,2.71
2025-11-30,3.03
2025-12-31,2.95
2026-01-31,2.02
2026-02-28,1.65
2026-03-31,1.69
2026-04-30,1.7
2026-05-31,1.45
2026-06-30,1.48
2026-07-31,1.45
2026-08-31,1.61
2026-09-08,1.6
