Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2015,448.136,-392.675,55.461,12.4,26.345,5.9,,10.552,2.4,7.21,16.376,-107.975,-91.59899999999999,171.846,579.782,407.936,263.567,1.529,,,,,,,,millions,NZD
FY2016,546.866,-446.874,99.992,18.3,61.052,11.2,,34.383,6.3,23.5,103.903,-41.038,62.86500000000001,256.843,590.456,333.613,215.454,2.045,146.341197,0.364,,,,,,millions,NZD
FY2017,758.994,-648.585,110.409,14.5,65.777,8.7,,38.223,5.0,22.07,115.175,-33.283,81.892,393.084,753.625,360.541,156.085,73.827,179.223028,0.364,,,,,,millions,NZD
FY2018,879.001,-712.533,166.468,18.9,113.085,12.9,138.641,74.553,8.5,41.6,98.39,-120.289,-21.899,424.745,793.681,368.936,146.386,32.129,179.223028,0.588,,,,,,millions,NZD
H1 2019,470.95,-385.061,85.889,18.2,56.454,12.0,70.141,37.318,7.9,20.82,31.457,-174.635,-143.178,472.816,1049.377,576.561,300.39,13.493,179.223028,0.331,,,,,,millions,NZD
FY2019,1024.305,-837.976,186.329,18.2,124.508,12.2,152.147,82.239,8.0,45.89,136.698,-320.441,-183.74299999999997,492.359,1148.004,655.645,349.108,16.007,179.223028,0.644,,,,,,millions,NZD
H1 2020,559.286,-476.41,82.876,14.8,46.379,8.3,65.681,26.196,4.7,14.61,12.149,-91.223,-79.074,519.642,1390.944,871.302,463.185,6.974,179.306908,0.321,,,,,,millions,NZD
FY2020,1302.025,-1098.292,203.733,15.6,123.291,9.5,166.403,75.208,5.8,41.95,105.54,-152.474,-46.93399999999998,606.484,1492.266,885.782,548.851,5.887,179.306908,0.523,,,,,,millions,NZD
H1 2021,664.182,-604.529,59.653,9.0,19.586,2.9,44.68,6.373,1.0,3.23,-69.113,-73.942,-143.055,830.272,1764.016,933.744,507.708,9.133,218.581661,0.673,,,,,,millions,NZD
FY2021,1367.349,-1300.042,67.307,4.9,-17.665,-1.3,32.571,-28.451,-2.1,-13.77,15.868,-140.368,-124.5,767.114,1618.15,851.036,507.935,16.02,218.581661,-0.61,,,,,,millions,NZD
H1 2022,790.591,-721.502,69.089,8.7,41.408,5.2,66.506,27.905,3.5,12.77,117.25,-46.006,71.244,747.964,1687.73,939.766,452.145,40.639,218.581661,0.673,,,,,,millions,NZD
FY2022,1660.601,-1513.827,146.774,8.8,62.597,3.8,112.62700000000001,38.523,2.3,17.62,232.92,-92.908,140.012,748.396,1575.977,827.581,383.528,14.493,218.581661,0.115,,,,,,millions,NZD
H1 2023,769.828,-688.108,81.72,10.6,22.51,2.9,49.214,4.813,0.6,2.2,-124.659,-33.162,-157.821,814.782,1899.273,1084.491,556.416,12.424,218.581661,0.108,,,,,,millions,NZD
FY2023,1320.758,-1202.85,117.908,8.9,14.554,1.1,68.759,-4.292,-0.3,-1.96,39.037,-64.895,-25.857999999999997,790.374,1685.61,895.236,469.618,9.29,218.581661,0.115,,,,,,millions,NZD
H1 2024,652.889,-625.279,27.61,4.2,-70.413,-10.8,-42.78399999999999,-96.221,-14.7,-44.02,-98.113,-17.426,-115.539,698.88,1713.347,1014.467,633.09,30.504,218.581661,0.198,,,,,,millions,NZD
FY2024,1636.858,-1580.844,56.014,3.4,-182.732,-11.2,-126.827,-182.111,-11.1,-83.31,-47.191,-30.902,-78.093,604.798,1494.015,889.217,615.035,10.273,218.581661,0.399,,,,,,millions,NZD
H1 2025,916.767,-829.793,86.974,9.5,34.099,3.7,59.759,4.808,0.5,1.01,-12.038,-13.083,-25.121000000000002,796.658,1673.708,877.05,491.958,49.041,603.198098,0.198,,,,,,millions,NZD
FY2025,1827.415,-1722.076,105.339,5.8,-6.32,-0.3,44.241,-39.822,-2.2,-7.39,165.522,-23.663,141.85899999999998,788.786,1563.878,775.092,384.072,78.277,603.198098,-0.536,,,,,,millions,NZD
H1 2026,777.581,-778.995,-1.414,-0.2,-52.189,-6.7,-31.457,-80.628,-10.4,-13.37,-183.371,-16.392,-199.763,717.564,1782.66,1065.096,557.553,32.305,603.198098,,,,,,,millions,NZD
