Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
H1 FY2015,197.191,,,,7.607,3.8577,10.656,4.045,2.0513,0.0105,,1.108,,,,,,,,,,,,,,millions,AUD
FY2015,410.888,,,,19.064,4.6397,25.389,11.72,2.8524,0.0303,32.311,3.857,28.454,189.322,266.377,77.055,,14.756,388.653,1.273,,,,,,millions,AUD
H1 FY2016,216.483,,,,12.725,5.8781,15.681,8.81,4.0696,0.0228,30.79,4.142,26.648,195.667,268.503,72.836,0.0,37.646,,,,,,,,millions,AUD
FY2016,437.872,,,,28.408,6.4877,35.818,19.983,4.5637,0.052,62.33,9.546,52.784,185.351,278.292,92.941,0.0,41.086,394.311,2.385,,,,,,millions,AUD
H1 FY2017,240.386,,,,18.635,7.7521,21.092,13.034,5.4221,0.0358,17.402,5.104,12.298,192.273,286.524,94.251,,44.116,,,,,,,,millions,AUD
FY2017,501.543,,,,40.873,8.1495,48.352,28.37,5.6565,0.0778,50.745,8.843,41.902,206.32,331.773,125.453,1.01,50.897,372.26,4.977,,,,,,millions,AUD
H1 FY2018,293.47,,,,28.369,9.6667,32.052,19.902,6.7816,0.0545,42.627,3.485,39.142,205.429,341.319,135.89,0.807,64.405,,,,,,,,millions,AUD
FY2018,630.509,,,,57.851,9.1753,67.296,41.107,6.5197,0.1129,79.677,7.74,71.937,206.894,357.985,151.091,0.657,73.698,370.276,6.932,,,,,,millions,AUD
H1 FY2019,347.193,,,,34.122,9.828,38.033,24.092,6.9391,0.0668,17.866,5.271,12.595,219.228,374.333,155.105,0.475,69.975,,,,,,,,millions,AUD
FY2019,850.959,,,,73.317,8.6158,89.543,49.859,5.8592,0.1309,59.523,9.868,49.655,307.764,607.171,299.407,60.288,70.809,386.84,7.873,,,,,,millions,AUD
H1 FY2020,497.097,,,,40.769,8.2014,56.429,27.291,5.4901,0.0673,10.205,3.547,6.658,314.876,605.252,290.376,60.0,56.148,,,,,,,,millions,AUD
FY2020,927.951,,,,73.91,7.9649,105.588,49.315,5.3144,0.1213,57.683,7.821,49.862,321.796,588.681,266.885,60.0,79.472,407.781,2.004,,,,,,millions,AUD
H1 FY2021,409.107,,,,25.015,6.1145,39.126,16.241,3.9699,0.0397,20.277,5.108,15.169,320.457,543.399,222.942,38.594,50.481,,,,,,,,millions,AUD
FY2021,803.006,,,,45.862,5.7113,75.153,29.274,3.6456,0.0715,45.547,9.894,35.653,323.332,547.426,224.094,33.783,50.573,409.706,1.288,,,,,,millions,AUD
H1 FY2022,559.309,,,,11.736,2.0983,30.688,5.338,0.9544,0.0093,78.864,1.797,77.067,511.137,1029.535,518.398,117.605,70.554,,,,,,,,millions,AUD
FY2022,1513.804,,,,-26.919,-1.7782,26.403,-36.324,-2.3995,-0.0609,58.547,5.379,53.168,468.096,1049.655,581.559,148.907,68.677,596.1,0.332,,91.114,,,,millions,AUD
H1 FY2023,954.054,,,,-2.168,-0.2272,28.589,-6.287,-0.659,-0.0102,9.736,4.037,5.699,456.672,1068.843,612.171,194.108,104.526,,,,,,,,millions,AUD
FY2023,2048.658,,,,18.828,0.919,86.878,4.462,0.2178,0.0072,94.812,7.984,86.828,465.358,1091.107,625.749,118.612,84.267,625.281,2.051,,93.957,,,,millions,AUD
H1 FY2024,1132.524,,,,24.118,2.1296,53.556,12.766,1.1272,0.0207,59.271,4.898,54.373,473.171,1072.539,599.368,68.89,73.3,,,,,,,,millions,AUD
FY2024,2288.793,,,,58.291,2.5468,116.752,32.298,1.4111,0.0525,97.185,10.473,86.712,480.288,1048.559,568.271,54.496,62.947,628.858,4.39,,,,,,millions,AUD
H1 FY2025,1219.295,,,,45.93,3.7669,73.418,33.084,2.7134,0.054,83.319,6.19,77.129,495.891,1032.422,536.531,0.0,55.428,,,,,,,,millions,AUD
FY2025,2326.464,,,,86.254,3.7075,145.801,59.184,2.5439,0.0966,134.993,13.105,121.888,512.572,1045.946,533.374,0.0,73.553,627.076,5.935,,,,,,millions,AUD
H1 FY2026,1140.791,,,,39.523,3.4645,68.257,26.814,2.3505,0.0422,63.565,12.78,50.785,518.416,1020.59,502.174,0.0,87.587,,,,,,,,millions,AUD
FY2026,2350.235,,,,82.503,3.5104,141.653,56.935,2.4225,0.0927,109.987,29.702,80.285,521.641,1109.245,587.604,0.0,80.675,625.902,5.053,,,,,,millions,AUD
