Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2016,515.947,-392.444,123.503,23.9,36.806,7.1,43.16,25.826,5.0,28.9,25.076,-10.03,15.046,180.245,330.44,150.195,97.9,2.287,,,,,,,,millions,NZD
FY2017,511.4,-380.226,131.174,25.6,31.629,6.2,39.31,20.04,3.9,22.4,20.842,-18.518,2.324,212.13,412.727,200.597,133.374,6.517,90.633,,,,,,,millions,NZD
FY2018,495.806,-398.399,97.407,19.6,-36.187,-7.3,-28.127,-32.05,-6.5,-35.8,1.323,-18.964,-17.641,172.612,345.537,172.925,109.935,5.584,90.633,,,,,,,millions,NZD
FY2019,498.11,-387.14,110.97,22.3,16.795,3.4,24.085,10.415,2.1,6.8,21.304,-7.154,14.15,253.901,326.163,72.262,24.0,9.01,165.998,,,,,,,millions,NZD
FY2020,417.923,-333.802,84.121,20.1,-57.694,-13.8,-37.236,-60.013,-14.4,-36.4,39.606,-7.586,32.02,181.29,346.245,164.955,10.0,17.418,165.998,,,,,,,millions,NZD
FY2021,481.043,-382.949,98.094,20.4,20.707,4.3,38.614,15.371,3.2,9.3,29.332,-7.656,21.676,193.753,365.8,172.047,0.0,25.033,165.998,,,,,,,millions,NZD
H1 FY2022,282.187,-217.756,64.431,22.8,22.637,8.0,,14.337,5.1,8.7,-9.614,-2.535,-12.149,,,,,,,,,,,,,millions,NZD
FY2022,599.148,-465.514,133.634,22.3,47.636,8.0,66.598,30.193,5.0,18.3,-34.117,-6.179,-40.296,210.101,433.86,223.759,51.0,8.046,165.998,,,,,,,millions,NZD
H1 FY2023,315.326,-246.941,68.385,21.7,20.344,6.5,30.482,11.835,3.8,7.1,41.14,-2.28,38.86,209.25,391.258,182.008,40.0,7.536,166.0,,,,,,,millions,NZD
FY2023,589.078,-464.676,124.402,21.1,31.009,5.3,51.876,16.997,2.9,10.3,98.28,-6.249,92.031,208.154,364.089,155.935,0.0,6.481,166.853,,,,,,,millions,NZD
H1 FY2024,261.75,-203.789,57.961,22.1,10.172,3.9,21.172,5.348,2.0,3.2,38.715,-4.443,34.272,207.206,350.157,142.951,0.0,26.259,167.411,,,,,,,millions,NZD
FY2024,479.126,-375.014,104.112,21.7,9.569,2.0,31.415,2.64,0.6,1.6,42.235,-9.5,32.735,198.19,353.809,155.619,0.0,8.699,167.411,,,,,,,millions,NZD
H1 FY2025,196.027,-158.933,37.094,18.9,-10.922,-5.6,0.561,-10.394,-5.3,-6.2,23.148,-3.887,19.261,185.178,334.263,149.085,0.0,17.514,167.411,,,,,,,millions,NZD
FY2025,385.389,-315.662,69.727,18.1,-25.953,-6.7,-2.495,-24.37,-6.3,-14.3,10.427,-6.871,3.556,182.334,402.599,220.265,50.0,13.738,183.632,,,,,,,millions,NZD
H1 FY2026,211.9,,,,-11.9,-5.6,1.2,-12.4,-5.9,,5.6,,,,,,50.0,7.0,,,,,,,,millions,NZD
FY2026,438.864,-355.071,83.793,19.1,-72.201,-16.5,-45.815,-61.181,-13.9,-33.3,12.716,-6.981,5.735,121.759,362.596,240.837,60.0,12.047,183.632,0.657,0.0,,,,,millions,NZD
