Date,Close
2016-09-30,2.02657
2016-10-31,2.18388
2016-11-30,2.19313
2016-12-31,2.34119
2017-01-31,2.19313
2017-02-28,2.17463
2017-03-31,2.23015
2017-04-30,2.30418
2017-05-31,2.34119
2017-06-30,2.04507
2017-07-31,1.98955
2017-08-31,1.96179
2017-09-30,1.85075
2017-10-31,1.90627
2017-11-30,1.94328
2017-12-31,2.00806
2018-01-31,1.93403
2018-02-28,1.86925
2018-03-31,1.85075
2018-04-30,1.29552
2018-05-31,1.34179
2018-06-30,1.35104
2018-07-31,1.24
2018-08-31,1.27
2018-09-30,1.28
2018-10-31,1.23
2018-11-30,1.22
2018-12-31,1.15
2019-01-31,1.22
2019-02-28,1.18
2019-03-31,1.24
2019-04-30,1
2019-05-31,0.98
2019-06-30,0.94
2019-07-31,0.86
2019-08-31,0.85
2019-09-30,0.9
2019-10-31,0.82
2019-11-30,0.79
2019-12-31,0.82
2020-01-31,0.78
2020-02-29,0.5
2020-03-31,0.64
2020-04-30,0.63
2020-05-31,0.63
2020-06-30,0.56
2020-07-31,0.57
2020-08-31,0.6
2020-09-30,0.61
2020-10-31,0.74
2020-11-30,0.93
2020-12-31,0.9
2021-01-31,0.99
2021-02-28,1.01
2021-03-31,1.16
2021-04-30,1.12
2021-05-31,1.14
2021-06-30,1.15
2021-07-31,1.12
2021-08-31,1.03
2021-09-30,1.19
2021-10-31,1.41
2021-11-30,1.55
2021-12-31,1.54
2022-01-31,1.56
2022-02-28,1.57
2022-03-31,1.53
2022-04-30,1.37
2022-05-31,1.27
2022-06-30,1.33
2022-07-31,1.52
2022-08-31,1.38
2022-09-30,1.3
2022-10-31,1.3
2022-11-30,1.27
2022-12-31,1.32
2023-01-31,1.27
2023-02-28,1.07
2023-03-31,1.03
2023-04-30,1.12
2023-05-31,1.12
2023-06-30,1.29
2023-07-31,1.18
2023-08-31,1.14
2023-09-30,1.09
2023-10-31,1.06
2023-11-30,1.08
2023-12-31,1.14
2024-01-31,1.1
2024-02-29,1.04
2024-03-31,1.02
2024-04-30,0.95
2024-05-31,0.86
2024-06-30,1.01
2024-07-31,1
2024-08-31,0.97
2024-09-30,0.91
2024-10-31,0.89
2024-11-30,0.85
2024-12-31,0.84
2025-01-31,0.84
2025-02-28,0.78
2025-03-31,0.72
2025-04-30,0.68
2025-05-31,0.71
2025-06-30,0.73
2025-07-31,0.69
2025-08-31,0.65
2025-09-30,0.71
2025-10-31,0.625
2025-11-30,0.65
2025-12-31,0.67
2026-01-31,0.54
2026-02-28,0.42
2026-03-31,0.405
2026-04-30,0.375
2026-05-31,0.335
2026-06-30,0.35
2026-07-31,0.33
2026-08-31,0.315
2026-09-08,0.32
