Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,BasicEPS,CareFeesAndVillageServices,CareUnitsInPortfolio,DeferredManagementFees,DevelopmentMargin,NPAT,NTAPerShare,NetAssets,NewSalesORA,NewUnitsDelivered,ResalesORA,RetirementUnitsInPortfolio,TotalSalesORA,UnderlyingProfit
H1-2016,40.0,,,,,,,50.6,,,84.4,,,448.7,1521.4,,262.7,9.4,217.375,,2.6,,,,,millions,NZD,23.3,26.9,485.0,13.0,20.3,50.6,206.06,448.7,183.0,190.0,123.0,2609.0,306.0,24.7
FY2016,86.1,,,,,,,145.5,,,192.6,,,545.6,1706.8,,274.0,8.7,217.709,,7.7,,,,,millions,NZD,66.9,57.8,748.0,28.0,22.2,145.5,249.9,545.6,414.0,409.0,244.0,2828.0,658.0,56.6
H1-2017,50.7,,,,,,,90.3,,,86.4,,,627.6,1932.1,,315.3,13.1,218.396,,3.9,,,,,millions,NZD,41.37,34.1,,16.5,28.0,90.3,285.72,627.6,179.0,171.0,144.0,2999.0,323.0,35.7
FY2017,110.5,,,,,,,239.9,,,207.7,,,769.3,2216.3,,347.2,7.6,219.74,,11.0,,,,,millions,NZD,109.8,74.5,806.0,35.8,27.3,239.9,347.56,769.3,382.0,450.0,300.0,3278.0,682.0,81.7
FY2018,137.0,,,,,,,214.5,,,217.8,,,978.8,2766.4,,452.8,,221.734,,13.2,,,,,millions,NZD,97.1,91.2,858.0,45.6,33.2,214.5,438.44,978.8,339.0,454.0,301.0,3732.0,640.0,98.6
FY2019,153.9,,,,,,,175.3,,,237.9,,,1131.9,3337.9,,597.1,,224.25,,14.1,,,,,millions,NZD,78.6,101.3,858.0,52.5,27.9,175.3,502.01,1131.9,329.0,354.0,323.0,4086.0,652.0,106.2
FY2020,172.4,,,,,,,230.8,,,266.8,,,1354.8,3893.2,,687.1,15.8,227.073,,13.0,,,,,millions,NZD,102.3,111.6,915.0,60.8,19.6,230.8,594.14,1354.8,404.0,356.0,381.0,4442.0,785.0,98.3
H1-2021,94.9,,,,,,,263.8,,,229.7,,,1617.9,4375.2,,670.8,19.4,227.998,,9.9,,,,,millions,NZD,115.91,59.5,1035.0,35.4,,263.8,707.28,1617.9,302.0,347.0,243.0,4669.0,545.0,75.5
FY2021,205.3,,,,,,,543.7,,,383.4,,,1924.5,4923.7,,747.0,8.4,229.427,,18.5,,,,,millions,NZD,238.2,126.9,1098.0,75.2,23.1,543.7,835.93,1924.5,540.0,619.0,438.0,4930.0,978.0,141.1
FY2022,238.7,,,,,,,269.1,,,369.2,,,2193.0,5840.3,,1060.5,25.3,231.56,,22.3,,,,,millions,NZD,116.7,144.6,1161.0,92.3,29.7,269.1,943.93,2193.0,537.0,625.0,470.0,5518.0,1007.0,171.4
H1-2023,128.2,,,,,,,133.1,,,146.7,,,2306.6,6298.0,,1293.8,35.0,232.684,,7.0,,,,,millions,NZD,57.31,77.5,1161.0,49.8,,133.1,987.71,2306.6,241.0,152.0,242.0,5670.0,483.0,87.2
FY2023,272.2,,,,,,,425.3,,,398.2,,,2605.4,6941.7,,1393.5,12.6,233.872,,24.5,,,,,millions,NZD,182.7,165.9,1284.0,104.6,31.6,425.3,1110.41,2605.4,560.0,643.0,543.0,6087.0,1103.0,190.3
H1-2024,151.6,,,,,,,100.6,,,191.6,,,2691.9,7361.1,,1539.4,21.0,235.208,,9.5,,,,,millions,NZD,42.87,93.1,1359.0,57.9,,100.6,1141.02,2691.9,290.0,331.0,298.0,6364.0,588.0,89.9
FY2024,319.9,,,,,,,332.0,,,443.2,,,2969.5,8066.0,,1714.3,11.7,236.825,,24.5,,,,,millions,NZD,141.3,197.2,1299.0,121.4,28.9,332.0,1242.52,2969.5,588.0,708.0,650.0,6671.0,1238.0,206.4
H1-2025,173.0,,,,,,,89.4,,37.39,228.7,,,3110.8,8665.8,5555.0,1866.8,17.7,240.41,,9.5,,,,,millions,NZD,37.39,106.4,1391.0,66.2,,89.4,1292.0,3110.8,354.0,334.0,338.0,6913.0,692.0,106.6
FY2025,361.8,,,,,,,259.7,,,548.2,,,3327.9,9294.2,5966.4,1971.4,6.0,242.361,,24.5,,,,,millions,NZD,108.12,223.6,1475.0,137.2,27.8,259.7,1375.36,3327.9,805.0,693.0,755.0,7198.0,1560.0,234.2
H1-2026,200.3,,,,,,140.5,171.4,,70.64,279.9,,,3511.2,9839.6,6328.4,2074.8,14.1,243.483,1.7,3.8,,,,,millions,NZD,70.64,121.5,1696.0,78.5,,171.4,1441.0,3511.2,398.0,481.0,415.0,7458.0,813.0,103.4
