Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,InsuranceServiceResult,CapitalReturn,NetIncomeContinuing,NetInsuranceFinancialResult
H1 FY2016,7797.0,,,,,,,530.0,6.8,,,,,,,,,,,,0.3,,,,,millions,AUD,,,530.0,
H1 FY2017,8638.0,,,,,,,537.0,6.2,,,,,,,,,,,,0.33,,,,,millions,AUD,,,537.0,
H1 FY2018,7841.0,,,,,,,452.0,5.8,,,,,,,,,,,,0.33,,,,,millions,AUD,,,452.0,
FY2018,14190.0,,,,,,,1059.0,7.5,0.8217,-1879.0,,,13963.0,99333.0,85360.0,,1165.0,1288.8,,,,,,,millions,AUD,,,969.0,
H1 FY2019,7509.0,,,,,,,250.0,3.3,,,,,,,,,,,,0.26,,7509.0,,,millions,AUD,,,250.0,
FY2019,15560.0,,,,,,,175.0,1.1,0.1354,1842.0,,,13113.0,96235.0,83102.0,,1086.0,1292.9,,,,,,,millions,AUD,,,1076.0,
H1 FY2020,7054.0,,,,,,,642.0,9.1,,,,,,,,,,,,0.26,,7054.0,,,millions,AUD,,,348.0,
FY2020,14770.0,,,,,,,913.0,6.2,0.7193,2303.0,,,12763.0,95744.0,82960.0,22478.0,1046.0,1269.3,,,,,,,millions,AUD,,,,
H1 FY2021,7352.0,,,,,,,490.0,6.7,,,,,,,,,,,,0.26,,7352.0,,,millions,AUD,,,490.0,
FY2021,14187.0,,,,,,,1033.0,7.3,0.8086,4344.0,,,13424.0,96857.0,83409.0,21122.0,1200.0,1277.4,,,,,,,millions,AUD,,,,
H1 FY2022,7234.0,,,,,,,388.0,5.4,,,,,,,,,,,,0.23,,,,,millions,AUD,,,388.0,
FY2022,16169.0,,,,,,,681.0,4.2,0.538,2485.0,,,12753.0,106378.0,93595.0,23532.0,1418.0,1265.7,,,,,,,millions,AUD,,,,
H1 FY2023,8262.0,,,,,,,560.0,6.8,,,,,,,,,,,,0.33,,,,,millions,AUD,,,560.0,
FY2023,18354.0,,,,,,,1148.0,6.3,0.9092,742.0,,,13314.0,114983.0,101636.0,26553.0,3908.0,1262.6,,,,,,,millions,AUD,,,,
H1 FY2024,9645.0,,,,,,,582.0,6.0,,,,,,,,,,,,0.34,,,,,millions,AUD,,,582.0,
FY2024,13697.0,,,,,,,1197.0,8.7,0.9439,2497.0,,,13844.0,111710.0,97826.0,2525.0,734.0,1268.1,,,,,,,millions,AUD,997.0,,,1706.0
H1 FY2025,8380.0,,,,,,,1100.0,13.1,,,,,,,,,,,,0.41,,8380.0,,,millions,AUD,,,837.0,
FY2025,14966.0,,,,,,,1823.0,12.2,1.6852,2550.0,,,10576.0,30164.0,19537.0,2528.0,1361.0,1081.8,20.0,,,,,,millions,AUD,1625.0,3817.0,,2432.0
H1 FY2026,8640.0,,,,,,,263.0,3.0,,,,,,,,,,,,0.17,,8640.0,,,millions,AUD,,,263.0,
FY2026,15247.0,,,,,,,1027.0,6.7,0.9574,1585.0,,,10362.0,29567.0,19158.0,2292.0,997.0,1072.7,19.0,,,,,,millions,AUD,1194.0,,,1769.0
