Date,Close
2021-02-28,2.34
2021-03-31,2.31
2021-04-30,2.31
2021-05-31,2.37
2021-06-30,2.28
2021-07-31,2.28
2021-08-31,2.64
2021-09-30,3.08
2021-10-31,2.9
2021-11-30,2.75
2021-12-31,2.79
2022-01-31,2.66
2022-02-28,2.84
2022-03-31,2.74
2022-04-30,2.79
2022-05-31,2.59
2022-06-30,2.21
2022-07-31,2.11
2022-08-31,1.97
2022-09-30,2
2022-10-31,1.79
2022-11-30,1.61
2022-12-31,1.57
2023-01-31,1.53
2023-02-28,1.6
2023-03-31,1.55
2023-04-30,1.47
2023-05-31,1.34
2023-06-30,1.3
2023-07-31,1.56
2023-08-31,1.55
2023-09-30,1.51
2023-10-31,1.59
2023-11-30,1.54
2023-12-31,1.37
2024-01-31,1.62
2024-02-29,1.68
2024-03-31,1.69
2024-04-30,1.41
2024-05-31,1.59
2024-06-30,1.9
2024-07-31,1.95
2024-08-31,2.09
2024-09-30,2.23
2024-10-31,2.26
2024-11-30,2.44
2024-12-31,2.79
2025-01-31,3.14
2025-02-28,3.26
2025-03-31,2.94
2025-04-30,3.25
2025-05-31,3.43
2025-06-30,4.5
2025-07-31,4.39
2025-08-31,4.16
2025-09-30,4.72
2025-10-31,6.35
2025-11-30,5.48
2025-12-31,5.01
2026-01-31,4.91
2026-02-28,4.95
2026-03-31,5.02
2026-04-30,4.8
2026-05-31,4.5
2026-06-30,4.47
2026-07-31,4.56
2026-08-31,4.59
2026-09-08,4.65
