Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,NAVPerShare,DiscountToNAVPct,OngoingChargesPct,NAVTotalReturnPct,BenchmarkReturnPct,SharePricePence,GearingPct,ShareRepurchasesGBPm,DividendsPaidGBPm,NAVPerShareSplitAdj,SharePriceSplitAdj
FY2017,46.12,,,,,,,699.412,,242.3,,,,2148.097,2237.605,89.508,83.732,65.265,281.533,,8.25,,,,,millions,GBP,763.0,-13.3,1.2,47.8,35.2,132.3,,,,152.60,26.46
FY2018,60.487,,,,,,,248.365,,89.46,23.611,,,2300.812,2447.191,146.379,144.69,67.843,271.964,,15.0,,,,,millions,GBP,846.0,-12.2,1.12,12.4,11.8,148.6,,72.5,40.0,169.20,29.72
H1 FY2019,43.293,,,,,,,-41.81,,-15.77,30.677,,,2118.966,2248.657,129.691,124.769,41.213,251.93,,,,,,,millions,GBP,841.1,,,,,,,,,841.1,
FY2019,59.669,,,,,,,17.608,,6.78,33.495,,,2118.184,2247.26,129.076,124.844,73.213,251.388,,16.0,,,,,millions,GBP,842.5,-9.1,1.02,1.8,0.1,766.0,2.4,147.5,40.2,168.50,153.20
H1 FY2020,52.856,,,,,,,125.992,,50.64,37.594,,,2170.936,2293.865,122.929,117.132,100.287,245.553,,,,,,,millions,GBP,884.1,,,,,,,,,884.1,
FY2020,75.113,,,,,,,-226.738,,-92.35,44.386,,,1775.65,1878.819,103.169,100.0,87.83,242.475,,19.0,,,,,millions,GBP,732.3,-10.3,1.02,-11.2,-13.2,657.0,0.7,69.9,45.9,146.46,131.40
H1 FY2021,34.505,,,,,,,543.638,,226.53,47.593,,,2240.308,2343.856,103.548,100.0,97.827,236.694,,,,,,,millions,GBP,946.5,,,,,,,,,946.5,
FY2021,59.929,,,,,,,934.429,,78.46,51.493,,,2591.287,2699.61,108.323,100.0,85.212,1181.229,,3.8,,,,,millions,GBP,219.4,-7.7,0.97,54.5,42.8,202.4,,49.6,44.9,219.4,202.4
H1 FY2022,33.978,,,,,,,-191.85,,-16.24,-9.111,,,2366.049,2489.369,123.32,100.0,40.748,1181.253,,,,,,,millions,GBP,200.3,,,,,,,,,200.3,
FY2022,54.27,,,,,,,-442.408,,-37.46,-23.87,,,2100.39,2267.313,166.923,100.0,125.855,1178.897,,3.8,,,,,millions,GBP,178.2,-12.2,0.97,-17.3,-6.8,156.4,,3.6,44.8,178.2,156.4
H1 FY2023,55.128,,,,,,,-177.295,,-15.09,47.328,,,1871.761,2035.819,164.058,100.0,167.115,1166.207,,,,,,,millions,GBP,160.5,,,,,,,,,160.5,
FY2023,77.463,,,,,,,2.522,,0.22,64.303,,,2017.503,2133.649,116.146,100.0,132.988,1158.819,,5.0,,,,,millions,GBP,174.1,-12.6,0.98,0.8,-4.5,152.2,,29.2,57.8,174.1,152.2
H1 FY2024,45.458,,,,,,,-11.934,,-1.03,40.676,,,1935.566,2051.366,115.8,100.0,130.722,1135.229,,,,,,,millions,GBP,170.5,,,,,,,,,170.5,
FY2024,71.886,,,,,,,140.326,,12.35,48.168,,,2034.863,2151.727,116.864,100.0,145.736,1114.994,,5.0,,,,,millions,GBP,182.5,-15.4,0.97,7.9,5.9,154.4,0.0,65.9,57.037,182.5,154.4
H1 FY2025,45.905,,,,,,,132.997,,12.17,40.676,,,2060.617,2183.318,122.701,100.0,105.83,1068.784,,,,,,,millions,GBP,192.8,,,,,,,,,192.8,
FY2025,70.391,,,,,,,153.696,,14.36,47.224,,,1985.442,2086.54,101.098,80.0,75.549,1024.829,,5.25,,,,,millions,GBP,193.7,-12.4,0.95,8.8,5.8,169.6,0.2,149.034,53.887,193.7,169.6
H1 FY2026,40.029,,,,,,,469.448,,47.02,25.97,,,2321.129,2412.821,91.692,71.294,52.265,971.184,,,,,,,millions,GBP,239.0,,,,,,,,,239.0,
FY2026,65.561,,,,,,,758.536,,77.54,35.703,,,2525.585,2650.778,125.193,110.683,78.641,944.906,,5.25,,,,,millions,GBP,267.3,-8.2,0.86,41.3,26.8,245.5,1.2,166.176,51.687,267.3,245.5
