Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,NetTangibleAssetsPerShare
FY2019,1216.409,,,,16.501,1.4,54.254,6.611,0.5,0.7,51.009,-39.528,11.481,474.403,854.232,379.829,153.015,36.208,122.543204,,,,,,,millions,NZD,3.56
FY2020,1412.59,,,,32.376,2.3,78.255,16.59,1.2,9.0,56.281,-46.777,9.504,519.754,980.742,460.988,224.868,44.664,122.543204,,,,,,,millions,NZD,3.61
FY2021,1365.413,,,,16.887,1.2,69.532,13.552,1.0,7.2,55.36,-53.2,2.16,573.604,984.28,410.676,199.299,59.005,122.543204,,,,,,,millions,NZD,4.06
FY2022,1304.936,,,,20.409,1.6,78.052,-0.861,-0.1,-4.4,-0.468,-106.673,-107.141,580.168,1083.353,503.185,305.418,58.519,122.543204,,,,,,,millions,NZD,4.11
FY2023,1334.338,,,,-45.579,-3.4,13.05,-46.595,-3.5,-41.7,25.563,-76.07,-50.507,521.888,1075.212,553.324,371.305,30.508,122.543204,,,,,,,millions,NZD,3.61
H1 FY2024,820.08,,,,-2.631,-0.3,27.833,-18.635,-2.3,-17.5,-13.125,-11.864,-24.989,493.003,1212.804,719.801,478.601,53.431,122.543204,,,,,,,millions,NZD,
FY2024,1360.891,,,,12.664,0.9,71.061,-9.888,-0.7,-13.0,60.666,-48.055,12.611,490.651,1129.539,638.888,413.504,46.801,122.543204,,,,,,,millions,NZD,3.36
H1 FY2025,920.62,,,,18.124,2.0,48.545,1.694,0.2,-0.9,18.736,-7.173,11.563,496.542,1273.953,777.411,508.903,74.489,122.543204,,,,,,,millions,NZD,
FY2025,1558.723,,,,46.906,3.0,110.135,16.047,1.0,8.3,91.948,-32.622,59.326,510.019,1139.42,629.401,405.524,47.618,122.543204,,,,,,,millions,NZD,3.53
H1 FY2026,572.302,,,,11.642,2.0,34.676,-30.539,-5.3,-26.9,-1.947,-12.213,-14.16,467.339,1291.663,824.324,473.555,70.133,122.543204,,,,,,,millions,NZD,
