Date,Close
2016-09-30,3.20743
2016-10-31,3.20743
2016-11-30,3.6628
2016-12-31,3.87069
2017-01-31,3.87069
2017-02-28,3.7123
2017-03-31,3.6529
2017-04-30,3.87069
2017-05-31,4.15778
2017-06-30,4.23697
2017-07-31,4.52406
2017-08-31,4.94974
2017-09-30,5.02893
2017-10-31,4.99923
2017-11-30,5.98918
2017-12-31,5.79119
2018-01-31,5.88028
2018-02-28,6.03868
2018-03-31,6.01888
2018-04-30,6.46435
2018-05-31,6.58315
2018-06-30,6.03868
2018-07-31,5.5437
2018-08-31,5.6823
2018-09-30,4.94974
2018-10-31,4.88044
2018-11-30,5.09823
2018-12-31,4.83094
2019-01-31,4.72205
2019-02-28,4.69235
2019-03-31,3.99939
2019-04-30,3.82119
2019-05-31,3.742
2019-06-30,4.1
2019-07-31,3.76
2019-08-31,4.23
2019-09-30,3.55
2019-10-31,3.27
2019-11-30,3.45
2019-12-31,2.99
2020-01-31,2.49
2020-02-29,1.09
2020-03-31,1.28
2020-04-30,1.76
2020-05-31,1.98
2020-06-30,1.88
2020-07-31,2.07
2020-08-31,2.22
2020-09-30,2.24
2020-10-31,2.58
2020-11-30,2.6
2020-12-31,2.25
2021-01-31,2.25
2021-02-28,2.5
2021-03-31,2.58
2021-04-30,2.59
2021-05-31,2.53
2021-06-30,2.35
2021-07-31,2.41
2021-08-31,2.59
2021-09-30,2.75
2021-10-31,2.81
2021-11-30,2.95
2021-12-31,2.72
2022-01-31,2.62
2022-02-28,2.86
2022-03-31,3
2022-04-30,2.75
2022-05-31,2.32
2022-06-30,2.46
2022-07-31,2.72
2022-08-31,2.8
2022-09-30,3.69
2022-10-31,3.69
2022-11-30,3.46
2022-12-31,3.93
2023-01-31,4.01
2023-02-28,4
2023-03-31,4.19
2023-04-30,3.83
2023-05-31,3.87
2023-06-30,3.54
2023-07-31,3.87
2023-08-31,3.7
2023-09-30,3.24
2023-10-31,3.53
2023-11-30,3.85
2023-12-31,3.72
2024-01-31,3.3
2024-02-29,3.18
2024-03-31,2.9
2024-04-30,1.87
2024-05-31,1.79
2024-06-30,2.21
2024-07-31,2.03
2024-08-31,1.77
2024-09-30,1.93
2024-10-31,2.05
2024-11-30,1.99
2024-12-31,1.94
2025-01-31,1.88
2025-02-28,1.77
2025-03-31,1.37
2025-04-30,1.38
2025-05-31,2.25
2025-06-30,2.11
2025-07-31,2.26
2025-08-31,2.63
2025-09-30,2.53
2025-10-31,2.55
2025-11-30,2.58
2025-12-31,2.57
2026-01-31,2.72
2026-02-28,2.18
2026-03-31,2.07
2026-04-30,2.65
2026-05-31,2.9
2026-06-30,2.86
2026-07-31,2.7
2026-08-31,2.87
2026-09-25,2.86
