Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,CashEPS,CashEarnings,DividendPerShareDeclared,NetProfitAttributable,TotalIncome
H1 FY2015,12720.0,,,,3328.0,26.2,5317.0,2085.0,16.4,0.169,3694.0,,,,,,,,,,,,,,,millions,AUD,,,,,
H1 FY2016,13681.0,,,,3372.0,24.6,5410.0,2093.0,15.3,0.172,3677.0,2195.0,1482.0,14820.0,42471.0,27651.0,17388.0,2165.0,,,,,,,,millions,AUD,,,,,
FY2016,25911.0,,,,6310.0,24.4,10465.0,5780.0,22.3,0.316,8133.0,4194.0,3939.0,15907.0,43286.0,27379.0,17302.0,3550.0,,,0.31,,,,,millions,AUD,,,,,27050.0
H1 FY2017,12806.0,,,,2941.0,23.0,5189.0,1791.0,14.0,0.148,3162.0,2200.0,962.0,14569.0,41754.0,27185.0,17210.0,1188.0,,,,,,,,millions,AUD,,,,,
FY2017,26013.0,,,,6238.0,24.0,10679.0,3891.0,15.0,0.325,7775.0,5321.0,2454.0,14560.0,42133.0,27573.0,17284.0,938.0,11979.0,31.0,0.31,,,,,millions,AUD,,,,3891.0,28205.0
H1 FY2018,12809.0,,,,,,,1713.0,13.4,,3773.0,2562.0,1211.0,,,,,,,,,,,,,millions,AUD,,,,,
FY2018,26011.0,,,,5651.0,21.7,10121.0,3563.0,13.7,0.3,8606.0,4932.0,3674.0,15014.0,42870.0,27856.0,16951.0,629.0,11884.0,31.0,,,,,,millions,AUD,,,,,29042.0
H1 FY2019,12586.0,,,,2117.0,16.8,4258.0,1233.0,9.8,0.104,2817.0,2457.0,360.0,14505.0,43723.0,29218.0,18283.0,541.0,,,,,,,,millions,AUD,,,,,
FY2019,25259.0,,,,3702.0,14.7,7984.0,2154.0,8.5,0.181,6683.0,4370.0,2313.0,14530.0,42589.0,28059.0,17253.0,604.0,11880.0,29.0,,,,,,millions,AUD,,,,,27807.0
H1 FY2020,12164.0,,,,2051.0,16.9,4773.0,1139.0,9.4,0.096,2733.0,1507.0,1226.0,15393.0,45556.0,30163.0,16724.0,737.0,,,,,,,,millions,AUD,,,,,
FY2020,23710.0,,,,3567.0,15.0,8905.0,1819.0,7.7,0.153,7010.0,3442.0,3568.0,15147.0,44403.0,29256.0,15829.0,499.0,11880.0,23.0,,,,,,millions,AUD,,,,,26161.0
H1 FY2021,10984.0,,,,1641.0,14.9,4070.0,1098.0,10.0,0.092,3443.0,1597.0,1846.0,15185.0,43363.0,28178.0,15108.0,1295.0,,,,,,,,millions,AUD,,,,,
FY2021,21558.0,,,,2992.0,13.9,7638.0,1857.0,8.6,0.156,7231.0,3140.0,4091.0,15275.0,42525.0,27250.0,14136.0,1125.0,11875.0,23.0,0.16,,,,,millions,AUD,,,,,23132.0
H1 FY2022,10503.0,,,,1277.0,12.2,3466.0,698.0,6.6,0.059,3246.0,1626.0,1620.0,17459.0,42853.0,25394.0,12132.0,1648.0,,,,,,,,millions,AUD,,,,,
FY2022,21277.0,,,,2898.0,13.6,7256.0,1688.0,7.9,0.144,7249.0,3094.0,4155.0,16837.0,41628.0,24791.0,10982.0,1040.0,11755.0,18.0,0.165,,,,,millions,AUD,,,,,22045.0
FY2023,22702.0,,,,3392.0,14.9,7862.0,1928.0,8.5,0.167,6802.0,3870.0,2932.0,17816.0,45029.0,27213.0,12675.0,932.0,11554.0,19.0,,,,,,millions,AUD,,,,,23245.0
H1 FY2024,11425.0,,,,1774.0,15.5,4007.0,964.0,8.4,0.084,3033.0,1968.0,1065.0,,,,,,,,,,,,,millions,AUD,,,,,
FY2024,22928.0,,,,3049.0,13.3,7528.0,1622.0,7.1,0.141,7049.0,5064.0,1985.0,17352.0,45550.0,28198.0,13860.0,1046.0,11553.0,20.0,,,,,,millions,AUD,,,,,23482.0
H1 FY2025,11602.0,,,,1846.0,15.9,4248.0,1027.0,8.9,0.089,3172.0,1972.0,1200.0,17244.0,45605.0,28361.0,14958.0,1025.0,,,,,,,,millions,AUD,,,,,
FY2025,23125.0,,,,3916.0,16.9,8607.0,2172.0,9.4,0.189,7324.0,3874.0,3450.0,16316.0,44968.0,28652.0,14896.0,1012.0,11492.0,19.0,0.19,,,,,millions,AUD,0.224,2577.0,0.19,,23610.0
FY2026,22937.0,,,,3983.0,17.4,8822.0,2241.0,9.8,0.199,7554.0,3905.0,3649.0,14986.0,44119.0,29133.0,15512.0,1103.0,11261.0,28.0,0.21,,,,,millions,AUD,0.255,2876.0,0.21,,23405.0
