Date,Close
2016-09-30,4.98
2016-10-31,5.05
2016-11-30,5.1
2016-12-31,5
2017-01-31,4.82
2017-02-28,4.66
2017-03-31,4.22
2017-04-30,4.4
2017-05-31,4.3
2017-06-30,4.1
2017-07-31,3.67
2017-08-31,3.49
2017-09-30,3.54
2017-10-31,3.43
2017-11-30,3.63
2017-12-31,3.67
2018-01-31,3.35
2018-02-28,3.14
2018-03-31,3.18
2018-04-30,2.8
2018-05-31,2.62
2018-06-30,2.84
2018-07-31,3.1
2018-08-31,3.19
2018-09-30,3.08
2018-10-31,2.93
2018-11-30,2.85
2018-12-31,3.11
2019-01-31,3.13
2019-02-28,3.32
2019-03-31,3.38
2019-04-30,3.65
2019-05-31,3.85
2019-06-30,3.97
2019-07-31,3.72
2019-08-31,3.51
2019-09-30,3.49
2019-10-31,3.86
2019-11-30,3.54
2019-12-31,3.84
2020-01-31,3.43
2020-02-29,3.07
2020-03-31,3.05
2020-04-30,3.24
2020-05-31,3.13
2020-06-30,3.35
2020-07-31,2.89
2020-08-31,2.78
2020-09-30,2.68
2020-10-31,3.07
2020-11-30,2.98
2020-12-31,3.12
2021-01-31,3.08
2021-02-28,3.4
2021-03-31,3.39
2021-04-30,3.52
2021-05-31,3.76
2021-06-30,3.78
2021-07-31,3.84
2021-08-31,3.93
2021-09-30,3.82
2021-10-31,4.07
2021-11-30,4.18
2021-12-31,3.92
2022-01-31,3.96
2022-02-28,3.96
2022-03-31,4.04
2022-04-30,3.88
2022-05-31,3.85
2022-06-30,3.89
2022-07-31,3.97
2022-08-31,3.85
2022-09-30,3.92
2022-10-31,3.98
2022-11-30,3.99
2022-12-31,4.08
2023-01-31,4.16
2023-02-28,4.22
2023-03-31,4.37
2023-04-30,4.36
2023-05-31,4.3
2023-06-30,4.26
2023-07-31,4.01
2023-08-31,3.85
2023-09-30,3.81
2023-10-31,3.82
2023-11-30,3.96
2023-12-31,4.04
2024-01-31,3.82
2024-02-29,3.86
2024-03-31,3.67
2024-04-30,3.47
2024-05-31,3.62
2024-06-30,3.94
2024-07-31,3.93
2024-08-31,3.88
2024-09-30,3.82
2024-10-31,3.94
2024-11-30,4.01
2024-12-31,3.95
2025-01-31,4.14
2025-02-28,4.21
2025-03-31,4.51
2025-04-30,4.78
2025-05-31,4.84
2025-06-30,4.97
2025-07-31,4.89
2025-08-31,4.82
2025-09-30,4.88
2025-10-31,4.92
2025-11-30,4.87
2025-12-31,4.88
2026-01-31,5.18
2026-02-28,5.33
2026-03-31,5.32
2026-04-30,5.21
2026-05-31,5.08
2026-06-30,5.02
2026-07-31,4.67
2026-08-31,4.78
2026-09-25,4.78
