Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,ActiveCustomers,CAC,MarketingExpense,MarketingPctRevenue,MarketingROI,RepeatOrdersPctTotal,RevenuePerActiveCustomer,TotalOrders
FY2018,72.595,-40.478,32.117,44.2,,,,0.0,0.0,-0.02,1.27,0.065,1.205,10.822000000000001,21.723,10.901,0.0,9.933,108.051252,0.794,0.0,,,,,millions,AUD,,,,,,,,
H1 FY2019,49.36,-27.357,22.003,44.6,,,,3.023,6.1,2.72,1.747,0.10200000000000001,1.645,15.213000000000001,30.325,15.112,0.0,13.539,,2.615,0.0,,,,,millions,AUD,,,,,,,,
FY2019,101.613,-56.316,45.297000000000004,44.6,0.843,0.8,1.109,3.7640000000000002,3.7,3.37,4.162,0.538,3.6239999999999997,15.213000000000001,30.325,15.112,0.0,13.539,111.871045,1.047,0.0,,,,,millions,AUD,271000.0,43.0,11.121,10.9,,44.0,,
H1 FY2020,74.131,-41.283,32.848,44.3,2.065,2.8,2.373,2.926,3.9,2.59,2.59,0.26,2.33,18.512,36.569,18.057,0.0,15.700000000000001,,3.024,0.0,,,,,millions,AUD,,,8.261000000000001,11.1,,,,
FY2020,176.342,-97.697,78.645,44.6,7.847,4.4,8.484,13.909,7.9,12.28,25.503,0.5700000000000001,24.933,29.984,67.309,37.325,0.0,38.082,113.225581,0.909,0.0,,,,,millions,AUD,480000.0,46.0,21.037,11.9,,,,
H1 FY2021,161.593,-88.06400000000001,73.529,45.5,14.306000000000001,8.9,14.84,12.169,7.5,10.12,11.064,0.5750000000000001,10.489,80.95100000000001,128.78300000000002,47.832,0.0,85.743,,3.98,0.0,,,,,millions,AUD,,,20.675,12.8,,,,
FY2021,326.344,-178.348,147.996,45.3,18.875,5.8,20.504,13.953,4.3,11.6,24.506,1.476,23.03,84.004,148.346,64.342,0.0,97.504,120.33586,1.238,0.0,,,,,millions,AUD,778000.0,58.0,42.398,13.0,,,,1028000.0
H1 FY2022,235.37300000000002,-129.663,105.71000000000001,44.9,10.579,4.5,12.037,7.272,3.1,6.04,13.125,2.704,10.421,91.98700000000001,158.312,66.325,0.0,105.516,,5.46,0.0,,,,,millions,AUD,,,32.031,13.6,,,,
FY2022,426.33500000000004,-233.774,192.561,45.2,13.051,3.1,16.191,11.968,2.8,9.93,13.387,5.787,7.6000000000000005,102.912,170.342,67.43,0.0,101.011,120.464752,1.717,0.0,,,,,millions,AUD,941000.0,69.0,56.855000000000004,13.3,2.0,,,1365000.0
H1 FY2023,207.095,-112.661,94.434,45.6,4.97,2.4,7.307,3.874,1.9,3.15,5.566,2.64,2.9259999999999997,111.2,193.62800000000001,82.428,0.0,102.426,,4.7330000000000005,0.0,,,,,millions,AUD,,,,,,,,
FY2023,395.51300000000003,-266.553,128.96,32.6,9.538,2.4,14.809000000000001,8.305,2.1,6.82,22.005,2.789,19.215999999999998,107.73100000000001,190.781,83.05,0.0,105.14,121.770049,3.103,0.0,,,,,millions,AUD,832000.0,72.0,48.087,12.2,2.0,,,1132000.0
H1 FY2024,253.827,-169.33,84.497,33.3,4.578,1.8,7.473,4.125,1.6,3.45,23.325,0.2,23.125,107.923,205.56300000000002,97.64,0.0,114.244,,1.617,0.0,,,,,millions,AUD,,,,,,,,
FY2024,497.841,-331.779,166.062,33.4,2.601,0.5,8.431000000000001,1.786,0.4,1.5,29.994,0.552,29.442,106.523,206.484,99.961,0.0,107.152,119.17516,3.854,0.0,,,,,millions,AUD,1094000.0,88.0,77.864,15.6,1.7,,,1528000.0
H1 FY2025,313.71,-207.156,106.554,34.0,10.248,3.3,13.168000000000001,8.98,2.9,7.57,35.064,0.462,34.602,124.52,238.427,113.907,0.0,139.303,,2.466,0.0,,,,,millions,AUD,,,,,,,,
FY2025,600.719,-402.598,198.121,33.0,10.431000000000001,1.7,18.791,11.302,1.9,9.52,45.945,1.211,44.734,148.077,277.51,129.433,0.0,144.346,118.732568,4.88,0.0,,,,,millions,AUD,1274000.0,101.0,98.045,16.3,1.4,59.0,456.0,1779000.0
H1 FY2026,375.859,-257.938,117.921,31.4,7.368,2.0,13.452,5.7620000000000005,1.5,4.81,31.289,3.665,27.624000000000002,137.604,289.673,152.06900000000002,0.0,160.598,,2.412,0.0,,,,,millions,AUD,,,,,,,,
FY2026,664.586,-455.237,209.34900000000002,31.5,8.966,1.3,21.905,4.304,0.6,3.62,23.921,9.866,14.055,105.634,250.082,144.448,0.0,122.694,118.829968,4.177,0.0,,,,,millions,AUD,1333000.0,,101.242,15.2,,,,
