Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2017,0.585388,,,,-3.54061,-604.8313255481834,-3.012476,-3.54061,-604.8313255481834,-0.021,-2.57558,0.006355,-2.581935,14.324288,15.04148,0.717192,0.0,3.671571,165.256906,0.0,,,,,,millions,NZD
FY2018,0.804062,,,,-4.168792,-518.4664864152265,-3.632815,-4.168792,-518.4664864152265,-0.021,-3.729191,0.00311,-3.732301,11.615882,12.166849,0.550967,0.0,1.212454,195.565005,0.0,,,,,,millions,NZD
FY2019,1.862949,,,,-3.380454,-181.45714133881282,-2.814673,-3.380454,-181.45714133881282,-0.015600000000000001,-2.678321,0.410031,-3.088352,11.320809,12.545765,1.224956,0.626501,1.737775,209.777687,0.0,,,,,,millions,NZD
FY2020,1.288242,,,,-5.196721,-403.3963339186271,-4.598891,-5.196721,-403.3963339186271,-0.0232,-1.634499,0.0,-1.634499,7.241067,8.07401,0.832943,0.41028,1.024153,224.416746,0.306,,,,,,millions,NZD
FY2021,1.132641,,,,-3.49001,-308.1302901802071,-2.843413,-3.49001,-308.1302901802071,-0.0108,-2.189331,0.097524,-2.286855,11.309191,12.004691,0.6955,0.0,5.255074,323.761703,0.0,,,,,,millions,NZD
FY2022,1.678465,,,,-7.892672,-470.23155085152206,-7.299957,-7.892672,-470.23155085152206,-0.0218,-2.531697,0.002662,-2.534359,3.395051,4.386944,0.991893,0.0,2.797004,362.866253,0.144813,,,,,,millions,NZD
FY2023,1.662619,,,,-2.40184,-144.46123856397645,-2.40184,-2.40184,-144.46123856397645,-0.0066,-2.193786,0.0497,-2.243486,2.542024,3.470183,0.928159,0.0,2.160468,364.191703,0.054873,,,,,,millions,NZD
FY2024,2.107839,,,,-2.050533,-97.28129140793013,-2.050533,-2.050533,-97.28129140793013,-0.0049,-2.033174,0.0,-2.033174,3.231934,4.030381,0.798447,0.0,2.728036,422.175861,0.089643,,,,,,millions,NZD
FY2025,1.712052,,,,-2.243476,-131.0401786861614,-2.140915,-2.243476,-131.0401786861614,-0.0040999999999999995,-2.289306,0.0,-2.289306,1.008382,1.848357,0.839975,0.317372,0.365473,552.743441,0.0,,,,,,millions,NZD
FY2026,2.434476,,,,-2.252742,-92.53498494131797,-2.112677,-2.252742,-92.53498494131797,-0.0032,-2.470767,0.0,-2.470767,2.585462,3.748865,1.163403,0.200695,1.462603,700.894546,0.036829,,,,,,millions,NZD
