Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,ARR,ActiveCustomers,ARPCFreightForwarders,ARPCShippers,CustomerRetentionRate,ShareIssuanceProceeds
FY2020,0.357277,,,,-3.097347,-866.9,-2.819788,-3.132808,-876.9,,-2.5439149999999997,0.22803099999999998,-2.771946,3.49309,7.214124,3.721034,2.96215,1.298421,,0.058299,,,,,,millions,NZD,,,,,,
FY2021,1.64184,,,,-6.933119,-422.3,-5.863617,-6.598254,-401.9,-1.14,-4.5760309999999995,0.11838699999999999,-4.694418,3.49414,6.137706,2.643566,1.710011,1.413224,5.780472,0.28462499999999996,,,,,,millions,NZD,,,,,,
H1 FY2022,2.231,,,,,,-4.059,-4.832,-216.6,,,,,,,,,12.277999999999999,,,,,,,,millions,NZD,,,,,,
FY2022,3.877617,,,,-11.214084999999999,-289.2,-9.547259,-10.823758,-279.1,-0.13,-8.495813,0.340456,-8.836269,10.844579999999999,16.514872999999998,5.670293,3.632765,5.932557999999999,86.373316,0.088722,,,,,,millions,NZD,,,,,,
H1 FY2023,2.681,,,,,,-5.88,-7.061,-263.4,,,,,13.369,24.032,10.663,,7.306,,,,,,,,millions,NZD,,,,,,
FY2023,4.920081,,,,-14.101706,-286.6,-11.689862,-9.792829,-199.0,-0.1,-10.83276,0.147842,-10.980602,15.972819,22.530744,6.557925,2.6677649999999997,6.148124999999999,,0.188935,,,,,,millions,NZD,5.2,498.0,,,,14.735323999999999
FY2024,6.1790769999999995,,3.3367009999999997,54.0,-7.922466,-128.2,-6.626301,-8.013615,-129.7,-0.07,-5.753921999999999,0.012131,-5.766052999999999,9.24037,12.774132,3.533762,1.520123,0.18817699999999998,114.42894899999999,0.394051,,,,,,millions,NZD,6.3,513.0,,,,0.5
H1 FY2025,3.6999999999999997,,,,,,-1.3,-2.4,-64.9,,,,,,,,,0.5,,,,,,,,millions,NZD,7.199999999999999,,824.0,1944.0,,
FY2025,8.030529,,4.898623,61.0,-3.37891,-42.1,-1.526163,-3.5176849999999997,-43.8,-0.0275,-1.524519,0.058922999999999996,-1.583442,7.913627999999999,11.420361999999999,3.506734,1.433215,0.392212,127.744895,0.853428,,,,,,millions,NZD,8.7,554.0,914.0,2066.0,87.0,2.033196
H1 FY2026,4.6,,2.6679999999999997,58.0,,,-0.65,-1.3,-28.3,,,,,,,,,1.0999999999999999,,,,,,,,millions,NZD,8.799999999999999,534.0,1097.0,2484.0,92.0,
