Date,Close
2019-06-01,46.38
2019-07-01,42.14
2019-08-01,32.57
2019-09-01,30.47
2019-10-01,31.5
2019-11-01,29.6
2019-12-01,29.74
2020-01-01,36.29
2020-02-01,33.87
2020-03-01,27.92
2020-04-01,30.27
2020-05-01,36.32
2020-06-01,31.08
2020-07-01,30.26
2020-08-01,33.63
2020-09-01,36.48
2020-10-01,33.41
2020-11-01,49.66
2020-12-01,51
2021-01-01,50.93
2021-02-01,51.75
2021-03-01,54.51
2021-04-01,54.77
2021-05-01,50.83
2021-06-01,50.12
2021-07-01,43.46
2021-08-01,39.14
2021-09-01,44.8
2021-10-01,43.82
2021-11-01,38
2021-12-01,41.93
2022-01-01,37.4
2022-02-01,36.03
2022-03-01,35.68
2022-04-01,31.48
2022-05-01,23.2
2022-06-01,20.46
2022-07-01,23.45
2022-08-01,28.76
2022-09-01,26.5
2022-10-01,26.57
2022-11-01,29.14
2022-12-01,24.73
2023-01-01,30.93
2023-02-01,33.26
2023-03-01,31.7
2023-04-01,31.05
2023-05-01,37.93
2023-06-01,43.17
2023-07-01,49.46
2023-08-01,47.23
2023-09-01,45.99
2023-10-01,43.28
2023-11-01,56.38
2023-12-01,61.57
2024-01-01,65.27
2024-02-01,79.5
2024-03-01,76.99
2024-04-01,66.27
2024-05-01,64.56
2024-06-01,72.68
2024-07-01,64.47
2024-08-01,73.13
2024-09-01,75.16
2024-10-01,72.05
2024-11-01,71.96
2024-12-01,60.32
2025-01-01,66.85
2025-02-01,76.01
2025-03-01,72.86
2025-04-01,81.01
2025-05-01,84.16
2025-06-01,93.3
2025-07-01,87.75
2025-08-01,93.75
2025-09-01,97.97
2025-10-01,96.5
2025-11-01,87.54
2025-12-01,81.71
2026-01-01,80.05
2026-02-01,75.42
2026-03-01,71.93
2026-04-01,74.61
2026-05-01,70.4
2026-06-01,72.16
2026-07-01,70.36
2026-08-01,75.65
2026-09-01,75.76
2026-09-04,75.76
