Date,Close
2016-09-30,61.69
2016-10-31,60.7
2016-11-30,60.91
2016-12-31,63.72
2017-01-31,67.21
2017-02-28,72.71
2017-03-31,71.56
2017-04-30,62.82
2017-05-31,60.23
2017-06-30,61.56
2017-07-31,57.89
2017-08-31,60.23
2017-09-30,62.49
2017-10-31,62.74
2017-11-30,66.18
2017-12-31,70.2
2018-01-31,68.08
2018-02-28,66.18
2018-03-31,62.76
2018-04-30,67.5
2018-05-31,67.34
2018-06-30,73.46
2018-07-31,78.8
2018-08-31,77.4
2018-09-30,74.18
2018-10-31,74.24
2018-11-30,71.3
2018-12-31,75.64
2019-01-31,73.68
2019-02-28,76.56
2019-03-31,70.72
2019-04-30,68.48
2019-05-31,72.92
2019-06-30,70.62
2019-07-31,67.94
2019-08-31,66.6
2019-09-30,72.26
2019-10-31,73.56
2019-11-30,70.9
2019-12-31,83.08
2020-01-31,83.56
2020-02-29,79
2020-03-31,83.54
2020-04-30,90
2020-05-31,103.1
2020-06-30,108.85
2020-07-31,99.52
2020-08-31,97
2020-09-30,84.7
2020-10-31,89.56
2020-11-30,84.48
2020-12-31,85.52
2021-01-31,82.44
2021-02-28,81.12
2021-03-31,77.06
2021-04-30,76.52
2021-05-31,88.16
2021-06-30,91.2
2021-07-31,96.88
2021-08-31,96.8
2021-09-30,103.1
2021-10-31,96.14
2021-11-30,100.35
2021-12-31,88.02
2022-01-31,97.7
2022-02-28,108.45
2022-03-31,108.4
2022-04-30,82.16
2022-05-31,80.64
2022-06-30,76.3
2022-07-31,70.1
2022-08-31,71.12
2022-09-30,76.32
2022-10-31,76.78
2022-11-30,73.56
2022-12-31,75.38
2023-01-31,81.38
2023-02-28,82.44
2023-03-31,84.42
2023-04-30,81.52
2023-05-31,81.2
2023-06-30,80.52
2023-07-31,82.8
2023-08-31,77.54
2023-09-30,69.06
2023-10-31,67.84
2023-11-30,78.9
2023-12-31,87.3
2024-01-31,106.5
2024-02-29,114.4
2024-03-31,124.55
2024-04-30,128.65
2024-05-31,138.7
2024-06-30,154.65
2024-07-31,163.7
2024-08-31,162
2024-09-30,176.8
2024-10-31,185.35
2024-11-30,192.2
2024-12-31,188.2
2025-01-31,181.55
2025-02-28,162.75
2025-03-31,161.15
2025-04-30,159.9
2025-05-31,166.95
2025-06-30,190.45
2025-07-31,199.85
2025-08-31,235
2025-09-30,222.5
2025-10-31,240.5
2025-11-30,238.6
2025-12-31,255.4
2026-01-31,252.3
2026-02-28,258.5
2026-03-31,231.2
2026-04-30,251.7
2026-05-31,262
2026-06-30,222.9
2026-07-31,215.3
2026-08-31,210.6
2026-09-07,210.3
