Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,PaymentsVolume,ProcessedTransactions,CrossBorderVolumeGrowth,ClientIncentives
FY2013,11971,,,,7886,65.9,,5438,45.4,2.14,,,,,,,,,2541,,,millions,USD,3970,58.3,,4085
FY2014,12702,,,,8478,66.7,,5438,42.8,2.09,,,,,,,,,2600,,,millions,USD,4499,69.1,,4555
FY2015,13880,,,,9367,67.5,,6328,45.6,2.53,,,,,,,,,2500,,,millions,USD,5438,81.1,,5363
FY2016,15082,,,,10134,67.2,,5991,39.7,2.50,,,,,,,,,2397,,,millions,USD,6463,93.4,,6107
FY2017,18358,,,,12028,65.5,,6699,36.5,2.80,,,,,,,,,2393,,,millions,USD,7368,111.2,,7393
FY2018,20609,,,,12966,62.9,,10301,50.0,4.42,,,,34503,,,16634,8539,2330,,,millions,USD,8269,124.3,,7659
FY2019,22977,,,,14772,64.3,,12080,52.6,5.32,,,,35502,,,16699,8989,2270,,,millions,USD,9135,138.3,,8573
FY2020,21846,,,,14056,64.3,,10866,49.7,4.94,,,,36210,,,21071,16289,2199,,,millions,USD,8832,140.8,,7926
Q1 FY2021,5691,,,,3691,64.9,,2977,52.3,1.36,,,,,,,,,,,,millions,USD,,,,
Q2 FY2021,5729,,,,3800,66.3,,3035,53.0,1.38,,,,,,,,,,,,millions,USD,,,,
Q3 FY2021,6148,,,,4100,66.7,,3384,55.0,1.49,,,,,,,,,,,,millions,USD,,,,
FY2021,24105,,,,15827,65.7,,12311,51.1,5.62,,,,37589,,,19978,16487,2190,,,millions,USD,10065,164.8,,9139
Q1 FY2022,6559,,,,4597,70.1,,3580,54.6,1.62,,,,,,,,,,,,millions,USD,,,,
Q2 FY2022,7189,,,,4802,66.8,,3647,50.7,1.60,,,,,,,,,,,,millions,USD,,,,
Q3 FY2022,7275,,,,4148,57.0,,3411,46.9,1.60,,,,,,,,,,,,millions,USD,,,,
FY2022,29310,,,,18813,64.2,,14957,51.0,7.00,,,,35581,,,20200,15689,2136,,,millions,USD,12087,192.5,,10295
Q1 FY2023,7936,,,,5090,64.1,,4179,52.7,1.99,,,,,,,,,,,,millions,USD,,,,
Q2 FY2023,7985,,,,5336,66.8,,4257,53.3,2.04,,,,,,,,,,,,millions,USD,,,,
Q3 FY2023,8123,,,,5024,61.9,,4156,51.2,2.00,,,,,,,,,,,,millions,USD,,,,
FY2023,32653,,,,21000,64.3,,17273,52.9,8.28,,,19791,38733,,,20463,16286,2085,,,millions,USD,12984,212.6,,12297
Q1 FY2024,8634,,,,5954,69.0,,4890,56.6,2.39,,,,,,,,,,,,millions,USD,,,,
Q2 FY2024,8775,,,,5354,61.0,,4663,53.1,2.29,,,,,,,,,,,,millions,USD,,,,
Q3 FY2024,8900,,,,5938,66.7,,4872,54.7,2.40,,,,,,,,,,,,millions,USD,,,,
FY2024,35926,,,,23595,65.7,,19743,55.0,9.73,,,18693,39137,,,20836,11975,2029,,,millions,USD,12984,233.8,,13764
Q1 FY2025,9510,,,,6234,65.6,,5119,53.8,2.58,,,,,,,,,,,,millions,USD,,,,
Q2 FY2025,9594,,,,5435,56.7,,4577,47.7,2.32,,,,,,,,,,,,millions,USD,,,,
Q3 FY2025,10172,,,,6177,60.7,,5272,51.8,2.69,,,,,,,,,,,,millions,USD,,,,
FY2025,40000,,,,23994,60.0,,20058,50.1,10.20,,,21577,37909,,,19602,17164,1966,,,millions,USD,13782,257.5,,15751
Q1 FY2026,10904,,,,6422,58.9,,5410,49.6,2.82,,,,,,,,,,,,millions,USD,,,,
