Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,NetTangibleAssetsPerShare
FY2019,1318.6,,,,,,516.6,84.0,6.4,0.083,348.1,418.4,-70.3,2349.4,6061.0,3711.6,2800.9,27.6,999.973657,,0.165,,,,,millions,NZD,0.978
FY2020,1294.0,,,,,,573.8,97.3,7.5,0.095,397.3,476.4,-79.1,2259.7,6380.9,4121.2,3175.3,28.3,999.973657,,0.165,,,,,millions,NZD,
FY2021,1279.3,,,,,,634.3,194.6,15.2,0.193,499.1,516.2,-17.1,2335.4,6519.5,4184.1,3098.3,17.4,999.973657,,0.1675,,,,,millions,NZD,
FY2022,1339.0,,,,,,672.5,160.9,12.0,0.159,518.8,558.8,-40.0,2430.1,6812.2,4382.1,3257.1,22.5,999.973657,,0.1675,,1103.4,,,millions,NZD,
FY2023,1451.1,,,,,,523.3,1715.8,118.2,1.714,517.1,639.0,-121.9,3958.0,7527.6,3569.6,2333.8,537.0,999.973657,,0.2225,,1192.3,,,millions,NZD,2.726
FY2024,1241.5,,,,,,601.0,91.0,7.3,0.089,445.1,488.7,-43.6,3776.7,7125.6,3348.9,2106.6,104.6,999.973657,,0.2225,,1141.2,,,millions,NZD,2.622
H1 FY2025,,,,,,,336.3,118.1,,,237.0,261.0,-24.0,,,,,,999.973657,,0.12,,437.0,201.6,,millions,NZD,
FY2025,1183.2,,,,169.7,,611.6,167.7,14.17,0.167,515.2,474.9,40.3,3600.9,6922.3,3321.4,2100.6,23.3,999.973657,,0.25,414.0,1104.0,401.1,169.7,millions,NZD,2.549
H1 FY2026,,,,,,,324.6,113.0,,,277.0,223.0,54.0,,,,,,999.973657,,0.125,,498.0,239.7,,millions,NZD,
FY2026,1195.3,,,,249.2,,673.1,240.2,20.1,0.24,632.5,531.3,101.2,3629.0,7157.1,3528.1,2306.9,5.4,1000.0,,0.26,482.2,1195.3,482.2,249.2,millions,NZD,2.582
