Date,Close
2016-09-30,2.8651
2016-10-31,2.86987
2016-11-30,2.66965
2016-12-31,2.66965
2017-01-31,2.62197
2017-02-28,2.8508
2017-03-31,2.79836
2017-04-30,2.92708
2017-05-31,2.78406
2017-06-30,2.86034
2017-07-31,2.50279
2017-08-31,2.71732
2017-09-30,2.46942
2017-10-31,2.5743
2017-11-30,2.5743
2017-12-31,2.5743
2018-01-31,2.5743
2018-02-28,2.5743
2018-03-31,2.5743
2018-04-30,2.5743
2018-05-31,3.6517
2018-06-30,4.00447
2018-07-31,3.9568
2018-08-31,3.68983
2018-09-30,3.57542
2018-10-31,3.461
2018-11-30,3.57542
2018-12-31,3.80425
2019-01-31,4.2905
2019-02-28,4.65281
2019-03-31,4.80536
2019-04-30,5.50138
2019-05-31,5.76834
2019-06-30,5.91136
2019-07-31,3.85192
2019-08-31,3.66123
2019-09-30,3.71844
2019-10-31,3.62309
2019-11-30,3.4324
2019-12-31,3.41333
2020-01-31,3.01289
2020-02-29,1.106
2020-03-31,1.25
2020-04-30,1.5
2020-05-31,1.45
2020-06-30,1.28
2020-07-31,1.83
2020-08-31,1.65
2020-09-30,1.51
2020-10-31,1.75
2020-11-30,1.68
2020-12-31,1.49
2021-01-31,1.7
2021-02-28,2.2
2021-03-31,2.45
2021-04-30,2.17
2021-05-31,2.39
2021-06-30,2.33
2021-07-31,2.42
2021-08-31,2.71
2021-09-30,2.53
2021-10-31,2.26
2021-11-30,2.39
2021-12-31,2.09
2022-01-31,1.97
2022-02-28,1.86
2022-03-31,1.87
2022-04-30,1.7
2022-05-31,1.7
2022-06-30,1.83
2022-07-31,1.85
2022-08-31,1.64
2022-09-30,1.54
2022-10-31,1.52
2022-11-30,1.52
2022-12-31,1.45
2023-01-31,1.44
2023-02-28,1.39
2023-03-31,1.23
2023-04-30,1.33
2023-05-31,1.73
2023-06-30,1.84
2023-07-31,1.55
2023-08-31,1.44
2023-09-30,1.3
2023-10-31,1.36
2023-11-30,1.65
2023-12-31,1.63
2024-01-31,1.61
2024-02-29,2
2024-03-31,1.81
2024-04-30,2.19
2024-05-31,2.26
2024-06-30,2.41
2024-07-31,2.99
2024-08-31,2.69
2024-09-30,2.88
2024-10-31,2.95
2024-11-30,3.1
2024-12-31,3.24
2025-01-31,3.81
2025-02-28,3.77
2025-03-31,3.55
2025-04-30,3.69
2025-05-31,3.5
2025-06-30,3.51
2025-07-31,3
2025-08-31,2.97
2025-09-30,2.65
2025-10-31,2.6
2025-11-30,2.6
2025-12-31,1.86
2026-01-31,1.89
2026-02-28,1.69
2026-03-31,1.88
2026-04-30,2.59
2026-05-31,2.35
2026-06-30,2.47
2026-07-31,2.74
2026-08-31,2.91
2026-09-18,2.91
