Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,AFFO
FY2020,114.419,,,,41.132,35.9,,58.126,50.8,0.1287,44.436,150.19,-105.754,1078.979,2105.218,1026.239,813.515,5.265,451.563,0.0,,,,,,millions,NZD,
FY2021,126.144,,,,51.064,40.5,,278.392,220.7,0.5591,56.576,390.37,-333.794,1503.451,2662.56,1159.109,929.3,6.88,497.892,0.0,,,,,,millions,NZD,
FY2022,143.633,,,,56.517,39.3,,303.522,211.3,0.5333,60.487,437.638,-377.151,2165.876,3399.834,1233.958,1012.952,22.055,569.104,0.0,,,,,,millions,NZD,
FY2023,171.315,,,,69.494,40.6,,-152.401,-89.0,-0.2322,73.583,334.12,-260.537,1957.382,3429.712,1472.33,1239.156,10.885,656.236,0.0,,,,,,millions,NZD,
FY2024,168.788,,,,73.924,43.8,,-107.611,-63.8,-0.1609,61.445,261.439,-199.994,1805.126,3304.759,1499.633,1287.477,18.934,668.753,0.0,,,,,,millions,NZD,
9M FY2025,,,,,60.118,,,-64.261,,,,,,,,,,,675.433,,,,,,,millions,NZD,52.529
H1 FY2025,87.691,,,,36.475,41.6,,-39.29,-44.8,-0.0582,33.749,89.05,-55.301,,,,,,674.85,,,,,,,millions,NZD,
FY2025,177.101,,,,77.438,43.7,,-51.22,-28.9,-0.0758,68.408,157.121,-88.713,1679.515,3248.092,1568.577,1363.639,15.642,675.899,0.0,,,,,,millions,NZD,
9M FY2026,,,,,64.798,,,-31.568,,,,,,1939.703,3585.305,1645.602,,,739.36,,,,,,,millions,NZD,65.416
H1 FY2026,93.961,,,,-172.072,-183.1,,-74.002,-78.8,-0.1045,38.5,46.64,-8.14,1875.183,3463.03,1587.847,1369.478,25.415,708.186,,,,,,,millions,NZD,
FY2026,192.988,,,,-127.248,,,-24.786,,-0.0328,85.191,75.818,,1948.22,3616.668,1668.448,1427.838,13.809,755.951,0.429,,,,,,millions,NZD,86.918
