Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2021,731.546,-461.154,270.392,37.0,103.588,14.2,,64.832,8.9,0.49,105.454,5.661,99.793,154.117,582.453,428.336,80.0,10.163,131.408572,,,,,,,millions,NZD
H1 FY2022,462.993,-272.013,190.98,41.2,89.013,19.2,102.355,53.938,11.6,0.41,35.648,5.27,30.378,,,,,12.657,,,,,,,,millions,NZD
FY2022,972.667,-583.882,388.785,40.0,197.077,20.3,224.443,123.984,12.7,0.94,12.146,12.209,-0.063,185.265,795.38,610.115,210.97,24.033,131.408572,2.683,,,,,,millions,NZD
H1 FY2023,637.96,-408.844,229.116,35.9,94.099,14.7,115.113,54.355,8.5,0.414,15.966,10.687,5.279,175.951,1016.77,840.819,387.558,0.0,131.408572,,,,,,,millions,NZD
FY2023,1244.837,-800.942,443.895,35.7,163.433,13.1,208.7,87.899,7.1,0.67,145.404,22.952,122.452,185.918,1004.211,818.293,360.0,20.318,131.408572,1.243,,,,,,millions,NZD
H1 FY2024,564.002,-364.29,199.712,35.4,59.143,10.5,81.817,26.111,4.6,0.2,105.346,14.407,90.939,169.253,907.729,738.476,301.648,4.016,131.408572,,,,,,,millions,NZD
FY2024,1064.326,-689.378,374.948,35.2,98.994,9.3,147.566,39.985,3.8,0.3,168.711,26.688,142.023,172.056,906.431,734.375,299.904,24.112,131.408572,2.03,,,,,,millions,NZD
H1 FY2025,492.988,-319.593,173.395,35.2,32.006,6.5,56.9,9.183,1.9,0.07,80.725,14.097,66.628,169.244,877.14,707.896,250.474,8.964,131.608287,,,,,,,millions,NZD
FY2025,948.153,-623.555,324.598,34.2,58.496,6.2,109.0,15.728,1.7,0.12,104.954,21.32,83.634,169.653,858.661,689.008,249.747,17.372,131.694955,3.502,,,,,,millions,NZD
H1 FY2026,535.4,,,,28.8,5.4,56.3,8.3,1.6,0.058,38.7,14.3,24.4,288.7,,,,,,,,,,,,millions,NZD
FY2026,1158.807,-773.544,385.263,33.2,66.85,5.8,128.187,20.658,1.8,0.14,73.004,26.606,46.398,308.537,1132.627,824.09,258.587,30.701,146.52996,4.366,,,,,,millions,NZD
