Date,Close
2016-09-30,0.315
2016-10-31,0.24
2016-11-30,0.22
2016-12-31,0.28
2017-01-31,0.22
2017-02-28,0.265
2017-03-31,0.24
2017-04-30,0.275
2017-05-31,0.355
2017-06-30,0.355
2017-07-31,0.34
2017-08-31,0.32
2017-09-30,0.385
2017-10-31,0.415
2017-11-30,0.41
2017-12-31,0.43
2018-01-31,0.37
2018-02-28,0.38
2018-03-31,0.34
2018-04-30,0.335
2018-05-31,0.38
2018-06-30,0.32
2018-07-31,0.315
2018-08-31,0.28
2018-09-30,0.275
2018-10-31,0.3
2018-11-30,0.25
2018-12-31,0.235
2019-01-31,0.27
2019-02-28,0.32
2019-03-31,0.275
2019-04-30,0.285
2019-05-31,0.325
2019-06-30,0.36
2019-07-31,0.48
2019-08-31,0.485
2019-09-30,0.46
2019-10-31,0.39
2019-11-30,0.43
2019-12-31,0.475
2020-01-31,0.555
2020-02-29,0.415
2020-03-31,0.725
2020-04-30,0.84
2020-05-31,0.91
2020-06-30,1.045
2020-07-31,0.95
2020-08-31,1.07
2020-09-30,0.96
2020-10-31,0.885
2020-11-30,1.045
2020-12-31,0.915
2021-01-31,0.805
2021-02-28,0.765
2021-03-31,0.97
2021-04-30,1.105
2021-05-31,0.995
2021-06-30,1.06
2021-07-31,1.06
2021-08-31,0.97
2021-09-30,1.3
2021-10-31,1.305
2021-11-30,1.32
2021-12-31,1.105
2022-01-31,1.09
2022-02-28,1.25
2022-03-31,1.36
2022-04-30,1.3
2022-05-31,1.21
2022-06-30,1.33
2022-07-31,1.265
2022-08-31,1.05
2022-09-30,1.04
2022-10-31,1.155
2022-11-30,1.175
2022-12-31,1.115
2023-01-31,0.925
2023-02-28,0.96
2023-03-31,0.975
2023-04-30,0.865
2023-05-31,0.865
2023-06-30,0.895
2023-07-31,0.855
2023-08-31,0.77
2023-09-30,0.74
2023-10-31,0.935
2023-11-30,0.945
2023-12-31,0.975
2024-01-31,0.88
2024-02-29,1.2
2024-03-31,1.34
2024-04-30,1.53
2024-05-31,1.61
2024-06-30,1.495
2024-07-31,1.43
2024-08-31,1.735
2024-09-30,1.835
2024-10-31,1.515
2024-11-30,1.435
2024-12-31,1.67
2025-01-31,1.735
2025-02-28,2.32
2025-03-31,2.39
2025-04-30,2.83
2025-05-31,2.27
2025-06-30,2.35
2025-07-31,3.04
2025-08-31,3.04
2025-09-30,3.04
2025-10-31,2.81
2025-11-30,3
2025-12-31,3.69
2026-01-31,3.49
2026-02-28,3.2
2026-03-31,2.95
2026-04-30,3.17
2026-05-31,2.68
2026-06-30,2.84
2026-07-31,3.75
2026-08-31,3.53
2026-09-25,3.535
