Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2017,3975.0,1963.0,2012.0,50.6,1714.0,43.1,2918.0,1069.0,26.9,1.234,2400.0,1390.0,1010.0,15081.0,25399.0,9488.0,5065.0,318.0,866.202,50.0,,,,,,millions,USD
FY2018,5240.0,2604.0,2636.0,50.3,2278.0,43.5,3814.0,1364.0,26.0,1.481,3296.0,1334.0,1962.0,17489.0,27088.0,8766.0,4071.0,1674.0,921.165,51.0,,,,,,millions,USD
H1 FY2019,2260.0,1395.0,865.0,38.3,699.0,30.9,1462.0,419.0,18.5,0.448,1485.0,600.0,885.0,,,,,3037.0,934.697,,,,,,,millions,USD
FY2019,4873.0,2727.0,2146.0,44.0,1091.0,22.4,3531.0,343.0,7.0,0.367,3305.0,1213.0,2092.0,16617.0,29353.0,11944.0,5679.0,4058.0,935.833,61.0,,,,,,millions,USD
H1 FY2020,1907.0,1770.0,137.0,7.2,-5242.0,-274.9,974.0,-4067.0,-213.3,-4.298,1107.0,788.0,319.0,12142.0,24680.0,11739.0,6238.0,4452.0,946.226,,,,,,,millions,USD
FY2020,3600.0,2985.0,615.0,17.1,-5171.0,-143.6,1922.0,-4028.0,-111.9,-4.235,1849.0,1418.0,431.0,12075.0,24623.0,11748.0,6214.0,3604.0,951.113,54.0,,,,,,millions,USD
H1 FY2021,2504.0,1520.0,984.0,39.3,621.0,24.8,1496.0,317.0,12.7,0.333,1318.0,831.0,487.0,12367.0,23982.0,10821.0,5467.0,2938.0,951.489,,,,,,,millions,USD
FY2021,6962.0,3845.0,3117.0,44.8,3493.0,50.2,4135.0,1983.0,28.5,2.041,3792.0,2406.0,1386.0,13443.0,26474.0,12245.0,5430.0,3025.0,971.628,40.0,,,,,,millions,USD
FY2022,16817.0,6540.0,10277.0,61.1,9186.0,54.6,11234.0,6498.0,38.6,4.263,8811.0,3136.0,5675.0,36336.0,59321.0,22194.0,5138.0,6201.0,1524.319,65.0,,,,,,millions,USD
FY2023,13994.0,7519.0,6475.0,46.3,3307.0,23.6,9363.0,1660.0,11.9,0.869,6145.0,5291.0,854.0,34399.0,55361.0,20191.0,4883.0,1740.0,1910.943,58.0,,,,,,millions,USD
FY2024,13179.0,7501.0,5678.0,43.1,4514.0,34.3,9276.0,3573.0,27.1,1.869,5847.0,4902.0,945.0,35399.0,61264.0,25111.0,9997.0,3923.0,1911.925,63.0,,,,,,millions,USD
FY2025,12984.0,8448.0,4536.0,34.9,3889.0,30.0,9277.0,2718.0,20.9,1.42,7192.0,7974.0,-782.0,35914.0,66501.0,26658.0,11963.0,5712.0,1913.421,70.0,,,,,,millions,USD
