Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,StoreCount,OnlineSalesPct,SameStoreSalesGrowth
H1 FY2018,1598.1,,522.5,32.7,,,87.3,35.3,2.2,,46.6,38.9,7.7,,,,,,,,,,,,,millions,NZD,,,
FY2018,2994.571,2003.396,991.175,33.1,57.307,1.9,116.937,22.878,0.8,0.066,107.914,70.229,37.685,479.405,1049.748,569.464,188.794,26.455,344.916,0.353,,,,,,millions,NZD,,,
FY2019,3071.357,2042.722,1028.635,33.5,102.943,3.4,163.556,65.382,2.1,0.189,197.993,61.326,136.667,481.314,1050.821,568.788,125.465,49.297,345.286,0.42,,,,,,millions,NZD,,,
H1 FY2020,1683.4,,566.1,33.6,,,163.6,29.2,1.7,,101.0,30.6,70.4,,,,,,,,,,,,,millions,NZD,,,
FY2020,3172.83,2137.95,1034.88,32.6,104.682,3.3,259.334,44.472,1.4,0.129,408.006,64.513,343.493,377.133,1854.861,1478.522,0.0,168.068,345.286,,,,,,,millions,NZD,,,
H1 FY2021,1808.3,,655.4,36.2,,,247.0,55.0,3.0,,110.0,39.4,70.6,,,,,183.6,,,,,,,,millions,NZD,,,
FY2021,3414.601,2173.245,1241.356,36.4,194.159,5.7,343.462,117.651,3.4,0.341,247.261,83.18,164.081,452.162,1891.355,1441.887,0.0,160.526,345.301,,,,,,,millions,NZD,,,
H1 FY2022,1730.0,,599.6,34.7,79.0,4.6,164.8,50.4,2.9,,161.5,57.7,103.8,,,,,150.0,,,,,,,,millions,NZD,,21.4,
FY2022,3294.332,2129.95,1164.382,35.3,158.77,4.8,304.892,89.311,2.7,0.259,105.423,107.469,-2.046,424.17,1860.349,1439.25,66.15,24.999,345.354,,,,,,,millions,NZD,,,
H1 FY2023,1813.2,,592.4,32.7,45.5,2.5,130.6,17.4,1.0,,108.8,64.9,43.9,,,,,,,,,,,,,millions,NZD,,11.0,
FY2023,3399.112,2262.388,1136.724,33.4,88.115,2.6,250.811,29.81,0.9,0.086,214.183,115.088,99.095,403.02,1768.934,1365.914,76.4,28.33,345.354,0.804,,,,,,millions,NZD,,,
H1 FY2024,1632.7,,559.7,34.3,,,142.9,-23.7,-1.5,,137.5,28.7,108.8,,,,,,,,,,,,,millions,NZD,88.0,,
FY2024,3037.597,2016.731,1020.866,33.6,58.938,1.9,217.496,-54.181,-1.8,-0.157,185.87,39.284,146.586,309.551,1654.873,1344.138,82.9,32.204,345.354,,,,,,,millions,NZD,,,
H1 FY2025,1607.207,1085.46,521.747,32.5,38.866,2.4,115.907,11.791,0.7,0.034,122.925,5.088,117.837,321.718,1703.079,1380.374,25.35,44.322,345.354,,,,,,,millions,NZD,85.0,4.7,-0.5
FY2025,3086.725,2091.643,995.082,32.2,40.516,1.3,197.04,-2.764,-0.1,-0.008,72.323,12.604,59.719,299.37,1593.897,1293.401,135.3,39.206,345.354,0.0,,,,,,millions,NZD,,,
H1 FY2026,1612.087,1091.607,520.48,32.3,42.201,2.6,116.468,15.747,1.0,0.046,55.913,6.596,49.317,310.67,1623.578,1311.8,136.57,43.264,345.354,,,,,,,millions,NZD,,,
