Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,NTAPerShare,AvgRevenuePerUnit,PreSaleBook,SettledUnits
H1 FY2021,92.7,-67.5,25.2,27.2,18.1,19.5,18.4,10.4,11.2,,36.5,1.1,35.4,83.8,253.4,169.6,,35.0,,,,18.4,,,,millions,NZD,,,,245.0
FY2021,177.0,-119.6,57.4,32.4,69.8,39.4,70.4,46.1,26.0,,84.0,0.3,83.7,83.8,253.4,169.6,128.7,35.0,,0.0,,69.3,,,,millions,NZD,,,,553.0
H1 FY2022,44.3,-25.0,19.3,43.6,2.5,5.6,2.8,1.3,2.9,0.59,-18.1,0.6,-18.7,422.7,596.0,173.3,128.8,347.9,296.613736,-0.062,,8.8,,,,millions,NZD,,346.0,,128.0
FY2022,159.5,-87.1,72.4,45.4,44.2,27.7,45.0,31.7,19.9,,-8.9,7.2,-16.1,454.1,496.9,42.8,0.0,204.8,296.613736,-0.6,,50.8,,,,millions,NZD,153.1,355.0,,449.0
H1 FY2023,85.079,-45.726,39.353,46.3,48.601,57.1,49.746,34.471,40.5,11.47,-17.925,8.142,-26.067,485.684,556.329,70.645,0.0,89.014,296.613736,-0.54,,49.746,,,,millions,NZD,,,,219.0
FY2023,211.4,-102.7,108.7,51.4,94.2,44.6,95.6,64.6,30.6,21.78,11.9,26.2,-14.3,510.4,590.6,80.2,0.0,76.3,296.613736,,,95.6,,,,millions,NZD,171.2,374.0,,565.0
H1 FY2024,85.621,-57.003,28.618,33.4,12.993,15.2,14.178,9.729,11.4,3.28,17.424,24.421,-6.997,514.477,648.051,133.574,63.315,99.292,296.613736,-0.655,,14.178,,,,millions,NZD,,,,161.0
FY2024,173.6,-103.3,70.3,40.5,26.1,15.0,29.6,15.8,9.1,5.31,14.3,42.1,-27.8,519.5,654.0,134.5,64.0,41.7,296.613736,-1.2,,29.6,,,,millions,NZD,174.5,,,345.0
H1 FY2025,81.1,-57.6,23.5,29.0,-2.3,-2.8,-0.1,-2.0,-2.5,-0.67,27.1,11.4,15.7,518.3,666.3,145.0,78.6,26.1,296.613736,-0.6,,-0.1,,,,millions,NZD,174.1,,,93.0
FY2025,155.4,-95.9,59.5,38.3,15.9,10.2,21.2,10.3,6.6,3.48,42.3,19.5,22.8,531.2,704.0,172.8,99.4,20.3,296.613736,-1.2,,21.2,,,,millions,NZD,178.6,,,266.0
H1 FY2026,32.4,-14.0,18.4,56.9,-2.6,-8.0,0.8,-0.9,-2.8,-0.3,-9.9,1.8,-11.7,531.2,719.5,188.3,119.4,14.5,296.613736,-0.7,,0.8,,,,millions,NZD,,,,14.0
FY2026,188.841,-103.097,85.744,45.4,38.574,20.4,45.582,22.665,12.0,7.64,105.949,9.406,96.543,555.405,695.118,139.713,44.232,38.788,296.613736,-1.281,,,,,,millions,NZD,186.9,439.0,27.4,430.0
