Period,Currency,ActiveCustomers_k,PersonalCustomers_k,BusinessCustomers_k,CrossBorderVolume_bn,CBVolumePersonal_bn,CBVolumeBusiness_bn,CrossBorderTakeRate_pct,TakeRatePersonal_pct,TakeRateBusiness_pct,CrossBorderRevenue_m,CardOtherRevenue_m,TransactionRevenue_m,InterestIncomeGross_m,InterestExpense_m,InterestRelatedRevenueNet_m,NetRevenue_m,CustomerBalances_bn,AssetsUnderCustody_bn,CustomerHoldings_bn,Notes
Q3 FY2022,GBP,4348,4095,253,20.6,15.1,5.5,0.62,,,,,149.8,1.0,,-0.8,149.0,5.8,,,"GBP era: NetRevenue=Income (revenue + interest income net of customer benefits, i.e. after benefits paid); InterestRelatedRevenueNet is net of interest expense AND benefits paid"
Q4 FY2022,GBP,4588,4319,269,21.4,15.9,5.6,0.61,,,,,153.8,1.4,,-0.8,153.0,6.8,,,"GBP era: NetRevenue=Income (revenue + interest income net of customer benefits, i.e. after benefits paid); InterestRelatedRevenueNet is net of interest expense AND benefits paid"
Q1 FY2023,GBP,4997,4711,286,24.4,18.0,6.3,0.61,,,,,185.9,3.9,,1.2,187.1,7.7,,,"GBP era: NetRevenue=Income (revenue + interest income net of customer benefits, i.e. after benefits paid); InterestRelatedRevenueNet is net of interest expense AND benefits paid"
Q2 FY2023,GBP,5484,5182,302,27.0,20.1,6.9,0.63,,,,,211.5,18.4,,17.5,229.0,9.2,,,"GBP era: NetRevenue=Income (revenue + interest income net of customer benefits, i.e. after benefits paid); InterestRelatedRevenueNet is net of interest expense AND benefits paid"
Q3 FY2023,GBP,5793,5475,319,26.4,19.0,7.4,0.69,,,,,225.2,46.4,,43.5,268.7,10.1,,,"GBP era: NetRevenue=Income (revenue + interest income net of customer benefits, i.e. after benefits paid); InterestRelatedRevenueNet is net of interest expense AND benefits paid"
Q4 FY2023,GBP,6125,5784,340,26.7,19.5,7.3,0.67,,,177.7,45.8,223.5,71.5,,56.0,279.5,10.7,,,"GBP era: NetRevenue=Income (revenue + interest income net of customer benefits, i.e. after benefits paid); InterestRelatedRevenueNet is net of interest expense AND benefits paid"
Q1 FY2024,GBP,6670,6307,363,28.2,20.8,7.4,0.67,,,187.9,51.6,239.5,95.7,,71.4,310.9,11.5,,,"GBP era: NetRevenue=Income (revenue + interest income net of customer benefits, i.e. after benefits paid); InterestRelatedRevenueNet is net of interest expense AND benefits paid"
Q2 FY2024,GBP,7232,6847,385,29.2,21.6,7.6,0.67,,,196.5,62.2,258.7,115.4,,86.4,345.1,12.3,,,"GBP era: NetRevenue=Income (revenue + interest income net of customer benefits, i.e. after benefits paid); InterestRelatedRevenueNet is net of interest expense AND benefits paid"
Q3 FY2024,GBP,7512,7120,392,30.6,22.3,8.3,0.67,,,206.2,70.4,276.6,132.2,,98.5,375.1,12.9,,,"GBP era: NetRevenue=Income (revenue + interest income net of customer benefits, i.e. after benefits paid); InterestRelatedRevenueNet is net of interest expense AND benefits paid"
Q4 FY2024,GBP,7911,7517,395,30.6,22.6,8.0,0.67,,,204.6,72.6,277.2,141.9,,104.0,381.2,13.3,,,"GBP era: NetRevenue=Income (revenue + interest income net of customer benefits, i.e. after benefits paid); InterestRelatedRevenueNet is net of interest expense AND benefits paid"
Q1 FY2025,USD,8374,7962,412,41.9,30.9,10.9,0.64,0.68,0.51,266.4,101.1,367.5,187.3,52.1,135.2,502.7,17.8,4.3,22.1,
Q2 FY2025,USD,8892,8469,423,45.7,33.9,11.8,0.59,0.64,0.45,270.2,120.9,391.1,198.1,56.6,141.5,532.6,19.6,5.1,24.7,
Q3 FY2025,USD,9047,8612,435,48.4,35.1,13.3,0.56,0.62,0.42,272.6,125.4,398.0,190.6,49.0,141.6,539.6,20.3,5.4,25.7,
Q4 FY2025,USD,9290,8838,452,49.2,35.7,13.4,0.53,0.58,0.4,262.5,127.2,389.7,182.3,48.0,134.3,524.0,22.0,5.8,27.8,
Q1 FY2026,USD,9797,9321,475,55.0,39.7,15.3,0.52,0.57,0.39,286.8,138.0,424.8,196.5,48.0,148.5,573.3,24.9,6.6,31.5,
Q2 FY2026,USD,10440,9936,504,59.0,42.1,16.9,0.52,0.57,0.39,305.0,153.4,458.4,202.5,50.4,152.1,610.5,26.4,7.5,33.9,
Q3 FY2026,USD,10896,10354,542,63.1,44.2,18.9,0.52,0.57,0.4,326.5,169.7,496.2,204.5,49.5,155.0,651.2,28.5,8.5,37.0,
Q4 FY2026,USD,11290,10718,572,66.5,47.0,19.5,0.51,0.56,0.39,338.7,175.5,514.2,202.6,49.0,153.6,667.8,30.0,9.0,39.0,
Q1 FY2027,USD,11863,11256,608,69.3,48.0,21.3,0.5,0.56,0.39,349.8,191.1,540.9,225.4,52.3,173.1,714.0,31.0,10.2,41.2,
