Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
FY2016,102.809,-15.416,87.393,85.0,4.639,4.5,15.833,2.167,2.1,0.008,21.082,20.134,0.948,196.176,245.779,49.603,6.324,109.527,261.875,7.014,,,,,,millions,AUD
FY2017,153.759,-26.055,127.704,83.1,41.497,27.0,53.896,31.86,20.7,0.109,54.929,28.897,26.032,213.762,276.226,62.464,3.845,101.603,293.29,3.218,,,,,,millions,AUD
FY2018,221.598,-38.672,182.926,82.5,58.363,26.3,78.067,40.799,18.4,0.139,74.175,40.322,33.853,352.155,537.226,185.071,2.488,121.824,293.641,7.777,,,,,,millions,AUD
FY2019,348.266,-66.675,281.591,80.9,80.249,23.0,108.105,54.12,15.5,0.177,112.459,50.403,62.056,766.567,1130.645,364.078,1.21,260.092,306.428,10.859,,,,,,millions,AUD
H1 FY2020,205.9,-39.3,166.5,80.9,42.0,20.4,,59.9,29.1,0.187,62.4,41.7,20.7,830.1,1205.8,375.7,0.6,233.1,319.3,8.9,,,,,,millions,AUD
FY2020,429.4,-83.5,345.9,80.6,80.5,18.7,126.7,160.8,37.4,0.503,129.9,90.5,39.4,1003.4,1276.9,273.5,0.0,223.7,319.8,17.2,,,,,,millions,AUD
H1 FY2021,238.7,-38.9,199.7,83.7,61.4,25.7,89.2,44.4,18.6,0.137,87.1,43.4,43.7,1047.6,1317.6,269.9,0.0,251.4,324.8,9.7,,,,,,millions,AUD
FY2021,507.5,-85.6,421.9,83.1,149.8,29.5,206.7,108.1,21.3,0.332,211.6,90.8,120.8,1106.0,1399.8,293.9,0.0,315.0,325.0,22.1,,,,,,millions,AUD
H1 FY2022,281.0,-42.4,238.6,84.9,107.6,38.3,137.7,77.4,27.5,0.237,130.8,44.5,86.3,1192.2,1496.1,303.9,0.0,380.3,325.7,11.7,,,,,,millions,AUD
FY2022,632.2,-92.5,539.7,85.4,255.0,40.3,319.0,194.6,30.8,0.597,306.7,102.2,204.5,1315.2,1663.6,348.4,0.0,483.4,326.0,31.2,,,,,,millions,AUD
H1 FY2023,378.2,-56.9,321.3,85.0,150.1,39.7,187.3,109.0,28.8,0.333,181.0,65.7,115.3,1441.5,1828.1,386.7,0.0,489.9,327.0,23.8,,,,,,millions,AUD
FY2023,816.8,-125.6,691.3,84.6,300.2,36.8,385.7,212.2,26.0,0.646,380.5,141.9,238.6,1894.6,2658.6,764.1,225.0,143.0,328.5,48.5,,,,,,millions,AUD
H1 FY2024,500.4,-85.3,415.1,83.0,175.6,35.1,229.9,118.2,23.6,0.355,211.6,94.5,117.1,2020.6,2767.1,746.5,200.0,145.0,332.9,29.9,,,,,,millions,AUD
FY2024,1041.7,-166.5,875.2,84.0,380.7,36.5,495.6,262.8,25.2,0.789,448.7,198.1,250.6,2213.4,2827.1,613.8,80.0,121.7,333.2,61.4,,,,,,millions,AUD
H1 FY2025,381.0,-57.1,324.0,85.0,149.7,39.3,192.3,106.4,27.9,0.318,163.2,78.6,84.6,1557.2,1960.2,403.0,30.0,103.0,334.3,23.3,,,,,,millions,USD
FY2025,778.7,-107.7,671.0,86.2,291.3,37.4,381.6,200.7,25.8,0.6,367.0,149.5,217.5,1703.9,2234.1,530.1,65.0,167.4,334.4,48.7,,,,,,millions,USD
H1 FY2026,672.0,-151.4,520.6,77.5,149.6,22.3,252.1,68.1,10.1,0.203,186.1,78.0,108.1,1820.0,4934.0,3113.9,2361.6,358.4,335.8,65.3,,,,,,millions,USD
FY2026,1395.9,-315.0,1080.9,77.4,353.3,25.3,558.4,178.7,12.8,0.532,509.6,153.3,356.3,1942.4,4870.6,2928.2,2187.4,343.5,335.9,80.3,,,,,,millions,USD
