Period,Revenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,NetIncome,NetMargin,EPS,FreeCashFlow,ShareholdersEquity,TotalDebt,CashAndEquivalents,SharesOutstanding
FY2018,109.92,33.44,30.4,11.81,10.7,8.71,7.9,,4.77,20.8,0,3.97,27612597
Q1 2019,24.73,8.15,33.0,2.47,10.0,1.86,7.5,,0.61,,0,,
Q2 2019,30.09,10.63,35.3,3.97,13.2,3.01,10.0,0.11,1.7,25.88,0,5.47,27612597
Q3 2019,35.62,12.27,34.5,5.67,15.9,4.5,12.6,0.16,2.34,30.25,0,7.3,27612597
Q4 2019,39.5,12.46,31.5,4.97,12.6,4.61,11.7,0.51,4.74,35.06,0.81,11.5,27612597
FY2019,129.93,43.51,33.5,17.09,13.2,13.98,10.8,0.51,9.4,35.06,0.81,11.5,27612597
Q1 2020,28.39,10.3,36.3,2.48,8.7,1.61,5.7,0.06,-0.5,34.98,0,14.79,27612597
Q2 2020,35.81,11.74,32.8,5.14,14.4,3.97,11.1,0.14,11.24,39.4,0,25.8,27612597
Q3 2020,46.12,16.03,34.8,8.41,18.2,6.61,14.3,0.24,2.14,46.43,0,27.22,27612597
Q4 2020,48.61,15.96,32.8,7.33,15.1,6.09,12.5,0.22,3.8,53.38,6.48,29.03,27612597
FY2020,158.92,54.02,34.0,23.37,14.7,18.28,11.5,0.66,16.68,53.38,6.48,29.03,27612597
Q1 2021,51.87,18.29,35.3,8.55,16.5,6.85,13.2,0.25,7.52,60.02,0,35.62,27612597
Q2 2021,68.74,25.25,36.7,12.67,18.4,10.19,14.8,0.37,8.09,70.43,0,8.73,27612597
Q3 2021,68.53,24.45,35.7,10.37,15.1,8.33,12.2,0.3,-0.52,78.41,0,7.82,27612597
Q4 2021,70.13,24.69,35.2,8.53,12.2,6.2,8.8,0.22,-3.55,84.46,0.46,9.64,27616064
FY2021,259.26,92.68,35.7,40.12,15.5,31.57,12.2,1.14,11.54,84.46,0.46,9.64,27616064
Q1 2022,71.86,27.72,38.6,10.04,14.0,7.8,10.9,0.28,-6.58,92.24,0,10.6,27612597
Q2 2022,83.89,32.98,39.3,15.75,18.8,11.9,14.2,0.43,0.03,103.08,0,9.32,27612597
Q3 2022,89.76,35.77,39.8,17.31,19.3,13.32,14.8,0.48,10.71,114.95,0,10.24,27616064
Q4 2022,78.48,31.05,39.6,10.85,13.8,8.36,10.6,0.3,-0.04,124.72,0,8.06,27616064
FY2022,323.99,127.51,39.4,53.94,16.6,41.38,12.8,1.5,4.12,124.72,0,8.06,27616064
Q1 2023,85.84,35.96,41.9,14.93,17.4,11.43,13.3,0.41,-1.36,136.76,0,8.33,27616064
Q2 2023,102.24,43.99,43.0,20.19,19.7,15.74,15.4,0.57,25.43,153.31,0,14.3,27620000
Q3 2023,102.68,41.53,40.4,17.63,17.2,13.66,13.3,0.49,9.69,166.55,0,10.37,27629000
Q4 2023,105.54,40.93,38.8,14.22,13.5,11.97,11.3,0.43,-2.73,179.99,0,11.61,27630025
FY2023,396.29,162.41,41.0,66.97,16.9,52.8,13.3,1.91,31.03,179.99,0,11.61,27630025
Q1 2024,90.1,37.88,42.0,9.23,10.2,6.67,7.4,0.24,-6.98,186.42,0,8.61,
Q2 2024,109.92,47.87,43.5,19.19,17.5,15.03,13.7,0.54,25.09,201.91,0,14.98,27638000
Q3 2024,112.85,47.92,42.5,18.39,16.3,14.89,13.2,0.54,18.3,218.73,0,20.99,27647000
Q4 2024,107.53,43.7,40.6,12.35,11.5,8.9,8.3,0.33,4.7,225.46,0,22.09,27651773
FY2024,420.4,177.36,42.2,59.15,14.1,45.49,10.8,1.65,41.11,225.46,0,22.09,27651773
Q1 2025,103.81,43.9,42.3,11.12,10.7,8.59,8.3,0.31,2.23,235.45,0,23.54,
Q2 2025,124.71,53.52,42.9,19.3,15.5,16.29,13.1,0.59,26.95,255.74,0,49.59,27651773
Q3 2025,125.42,52.42,41.8,16.75,13.4,12.94,10.3,0.47,32.17,269.28,0,64.5,27678601
Q4 2025,122.27,51.18,41.9,15.48,12.7,13.41,11.0,0.48,1.59,280.28,0,50.86,27604183
FY2025,476.2,201.02,42.2,62.65,13.2,51.23,10.8,1.85,62.93,280.28,0,50.86,27604183
Q1 2026,117.35,51.23,43.7,13.01,11.1,10.35,8.8,0.37,-2.34,287.51,0,45.11,27558575
