# GENERATED by `make screen-deferred APPLY=1` (scripts/screen_deferred.py)
# -- do not hand-edit; the source is `screen.defer` in each ticker's
# research/{T}/info.json.
#
# The AFTERWARDS list: companies on a ridiculous P/E or carrying far too
# much debt. Not an exclusion -- the selector researches every other new
# ticker first, then these, then stale refreshes. Holdings and the watchlist
# (queue/priority.txt) are never deferred, and `make run TICKER=X` ignores
# this file. The permanent list is state/never_interested.txt.
#
# Rules: loss-making (net income < 0); P/E > 50; for non-financials
# D/E > 2x, net debt/EBITDA > 5x, interest cover < 2x.
# Data: stockanalysis.com statistics pages.
#
# TICKER  reason
0014.HK  P/E 51.5
0017.HK  loss-making
0020.HK  P/E 135.1
0041.HK  loss-making
0119.HK  loss-making
0123.HK  loss-making
0152.HK  ND/EBITDA 6.9x
0165.HK  loss-making
0173.HK  loss-making
0200.HK  D/E 6.5x; ND/EBITDA 5.6x; int cover 1.3x
0257.HK  ND/EBITDA 7.2x
0267.HK  int cover 1.9x
0268.HK  P/E 96.4
0272.HK  loss-making
0308.HK  loss-making
0336.HK  loss-making
0354.HK  ND/EBITDA 6.6x
0371.HK  ND/EBITDA 11.6x; int cover 2.0x
0384.HK  ND/EBITDA 6.2x
0392.HK  ND/EBITDA 7.3x; int cover 1.2x
0405.HK  loss-making
0570.HK  loss-making; int cover 1.9x
0586.HK  ND/EBITDA 10.1x
0604.HK  loss-making
0656.HK  loss-making
0694.HK  loss-making; ND/EBITDA 6.9x; int cover 0.0x
0697.HK  P/E 61.9; int cover 1.7x
0751.HK  ND/EBITDA 7.0x
0753.HK  loss-making; D/E 3.8x; ND/EBITDA 15.0x
0754.HK  loss-making
0772.HK  loss-making
0778.HK  loss-making
0819.HK  ND/EBITDA 8.6x; int cover 0.7x
0823.HK  loss-making
0836.HK  ND/EBITDA 5.0x
0853.HK  ND/EBITDA 14.9x
0855.HK  ND/EBITDA 6.0x
0861.HK  loss-making; ND/EBITDA 79.0x; int cover 0.1x
0880.HK  loss-making; D/E 2.3x; ND/EBITDA 10.4x; int cover 0.5x
0881.HK  loss-making; ND/EBITDA 10.4x
0902.HK  ND/EBITDA 5.6x
0909.HK  P/E 91.5
0916.HK  ND/EBITDA 6.9x
0956.HK  ND/EBITDA 7.0x
0960.HK  loss-making
0968.HK  P/E 116.8
0981.HK  P/E 64.4
